...1,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,left_gpt_is_singular_score,left_gpt_is_plural_score,verb_correct_delta,verb_correct_delta2
281,2,36,2,P,S,S,S_P-S,Выдержки из книги была краткой для упрощения процесса запоминания.,Выдержки из книги,была краткой для упрощения процесса запоминания.,-1.4001085,1.1309564,2.5310649,1.1309564
283,4,36,2,P,P,S,S_P-P,Выдержки из книг была краткой для упрощения процесса запоминания.,Выдержки из книг,была краткой для упрощения процесса запоминания.,-2.610712,0.05588594,2.66659794,0.05588594
285,6,36,2,S,S,S,S_S-S,Выдержка из книги была краткой для упрощения процесса запоминания.,Выдержка из книги,была краткой для упрощения процесса запоминания.,-0.46533585,-3.2351336,2.7697977500000004,-0.46533585
287,8,36,2,S,P,S,S_S-P,Выдержка из книг была краткой для упрощения процесса запоминания.,Выдержка из книг,была краткой для упрощения процесса запоминания.,0.1931344,-3.227169,3.4203034,0.1931344
288,1,37,2,P,S,S,S_P-S,Выписки из программы была сделана во время затянувшегося заседания.,Выписки из программы,была сделана во время затянувшегося заседания.,-1.754438,-0.4310284,1.3234096,-0.4310284
290,3,37,2,P,P,S,S_P-P,Выписки из программ была сделана во время затянувшегося заседания.,Выписки из программ,была сделана во время затянувшегося заседания.,-2.97091,-0.9681119,2.0027980999999997,-0.9681119
292,5,37,2,S,S,S,S_S-S,Выписка из программы была сделана во время затянувшегося заседания.,Выписка из программы,была сделана во время затянувшегося заседания.,0.28857806,-4.630472,4.91905006,0.28857806
294,7,37,2,S,P,S,S_S-P,Выписка из программ была сделана во время затянувшегося заседания.,Выписка из программ,была сделана во время затянувшегося заседания.,0.62876165,-3.1666944,3.79545605,0.62876165
297,2,38,2,P,P,S,S_P-P,Выходы из ситуаций был очевидным для опытного школьного психолога.,Выходы из ситуаций,был очевидным для опытного школьного психолога.,-3.1094673,-0.18217269,2.92729461,-0.18217269
299,4,38,2,S,S,S,S_S-S,Выход из ситуации  был очевидным для опытного школьного психолога.,Выход из ситуации,был очевидным для опытного школьного психолога.,2.3593035,-3.1149464,5.4742499,2.3593035
301,6,38,2,S,P,S,S_S-P,Выход из ситуаций был очевидным для опытного школьного психолога.,Выход из ситуаций,был очевидным для опытного школьного психолога.,0.386348,-4.2131953,4.5995433,0.386348
303,8,38,2,P,S,S,S_P-S,Выходы из ситуации был очевидным для опытного школьного психолога.,Выходы из ситуации,был очевидным для опытного школьного психолога.,-1.8575058,1.986484,3.8439898,1.986484
304,1,39,2,P,P,S,S_P-P,Доски для афиш была прибита к ограде маленького театра.,Доски для афиш,была прибита к ограде маленького театра.,-0.65322375,3.674454,4.327677749999999,3.674454
306,3,39,2,S,S,S,S_S-S,Доска для афиши была прибита к ограде маленького театра.,Доска для афиши,была прибита к ограде маленького театра.,2.6157894,-2.9687493,5.5845386999999995,2.6157894
308,5,39,2,S,P,S,S_S-P,Доска для афиш была прибита к ограде маленького театра.,Доска для афиш,была прибита к ограде маленького театра.,1.4042964,-3.846413,5.2507094,1.4042964
310,7,39,2,P,S,S,S_P-S,Доски для афиши была прибита к ограде маленького театра.,Доски для афиши,была прибита к ограде маленького театра.,0.23260531,3.980367,3.7477616900000004,3.980367
313,2,40,2,S,S,S,S_S-S,Задержка из-за наводнения была пугающей из-за отсутствия достоверной информации.,Задержка из-за наводнения,была пугающей из-за отсутствия достоверной информации.,4.194088,-0.6730548,4.8671428,4.194088
315,4,40,2,S,P,S,S_S-P,Задержка из-за наводнений была пугающей из-за отсутствия достоверной информации.,Задержка из-за наводнений,была пугающей из-за отсутствия достоверной информации.,3.9093184,-0.14151002,4.05082842,3.9093184
317,6,40,2,P,S,S,S_P-S,Задержки из-за наводнения была пугающей из-за отсутствия достоверной информации.,Задержки из-за наводнения,была пугающей из-за отсутствия достоверной информации.,-0.33091527,3.2936625,3.62457777,3.2936625
319,8,40,2,P,P,S,S_P-P,Задержки из-за наводнений была пугающей из-за отсутствия достоверной информации.,Задержки из-за наводнений,была пугающей из-за отсутствия достоверной информации.,-0.40482777,3.7808564,4.18568417,3.7808564
320,1,41,2,S,S,S,S_S-S,Зал для заседания был громадным по масштабам небольшого городка.,Зал для заседания,был громадным по масштабам небольшого городка.,2.4306188,-3.5214355,5.9520543,2.4306188
322,3,41,2,S,P,S,S_S-P,Зал для заседаний был громадным по масштабам небольшого городка.,Зал для заседаний,был громадным по масштабам небольшого городка.,2.9086404,-3.1450417,6.0536821,2.9086404
324,5,41,2,P,S,S,S_P-S,Залы для заседания был громадным по масштабам небольшого городка.,Залы для заседания,был громадным по масштабам небольшого городка.,-1.5375509,1.9874518,3.5250027,1.9874518
326,7,41,2,P,P,S,S_P-P,Залы для заседаний был громадным по масштабам небольшого городка.,Залы для заседаний,был громадным по масштабам небольшого городка.,-1.4250436,2.6245818,4.0496254,2.6245818
329,2,42,2,S,P,S,S_S-P,Запчасть для иномарок была старой по меркам современного автовладельца.,Запчасть для иномарок,была старой по меркам современного автовладельца.,-2.3898163,-4.7081447,2.3183284,-2.3898163
331,4,42,2,P,S,S,S_P-S,Запчасти для иномарки была старой по меркам современного автовладельца.,Запчасти для иномарки,была старой по меркам современного автовладельца.,-2.426121,-2.4346337,-0.008512699999999818,-2.4346337
333,6,42,2,P,P,S,S_P-P,Запчасти для иномарок была старой по меркам современного автовладельца.,Запчасти для иномарок,была старой по меркам современного автовладельца.,-3.0506356,-2.4691978,0.5814378000000002,-2.4691978
335,8,42,2,S,S,S,S_S-S,Запчасть для иномарки была старой по меркам современного автовладельца.,Запчасть для иномарки,была старой по меркам современного автовладельца.,-1.205031,-4.696465,3.491434,-1.205031
336,1,43,2,S,P,S,S_S-P,Исключение из правил было выписано на аккуратно свернутую шпаргалку.,Исключение из правил,было выписано на аккуратно свернутую шпаргалку.,0.30778036,-3.5692823,3.87706266,0.30778036
338,3,43,2,P,S,S,S_P-S,Исключения из правила было выписано на аккуратно свернутую шпаргалку.,Исключения из правила,было выписано на аккуратно свернутую шпаргалку.,-2.9569888,0.3554272,3.312416,0.3554272
340,5,43,2,P,P,S,S_P-P,Исключения из правил было выписано на аккуратно свернутую шпаргалку.,Исключения из правил,было выписано на аккуратно свернутую шпаргалку.,-2.9044325,0.76629776,3.67073026,0.76629776
342,7,43,2,S,S,S,S_S-S,Исключение из правила было выписано на аккуратно свернутую шпаргалку.,Исключение из правила,было выписано на аккуратно свернутую шпаргалку.,0.795657,-3.7108753,4.5065323,0.795657
345,2,44,2,P,S,S,S_P-S,Истерики из-за оценки была бурной по мнению родителей девочки.,Истерики из-за оценки,была бурной по мнению родителей девочки.,-1.1570754,2.0430143,3.2000897,2.0430143
347,4,44,2,P,P,S,S_P-P,Истерики из-за оценок была бурной по мнению родителей девочки.,Истерики из-за оценок,была бурной по мнению родителей девочки.,-0.262658,3.2851846,3.5478426,3.2851846
349,6,44,2,S,S,S,S_S-S,Истерика из-за оценки была бурной по мнению родителей девочки.,Истерика из-за оценки,была бурной по мнению родителей девочки.,2.620136,-3.2263207,5.8464567,2.620136
351,8,44,2,S,P,S,S_S-P,Истерика из-за оценок была бурной по мнению родителей девочки.,Истерика из-за оценок,была бурной по мнению родителей девочки.,2.8511813,-2.0351007,4.886282,2.8511813
352,1,45,2,P,S,S,S_P-S,Камни для ограды был завезен с лучшей итальянской каменоломни.,Камни для ограды,был завезен с лучшей итальянской каменоломни.,-1.7435671,0.8419957,2.5855628,0.8419957
354,3,45,2,P,P,S,S_P-P,Камни для оград был завезен с лучшей итальянской каменоломни.,Камни для оград,был завезен с лучшей итальянской каменоломни.,-3.1192663,-1.4283493,1.690917,-1.4283493
356,5,45,2,S,S,S,S_S-S,Камень для ограды  был завезен с лучшей итальянской каменоломни.,Камень для ограды,был завезен с лучшей итальянской каменоломни.,2.9229388,-1.9271762,4.850115,2.9229388
358,7,45,2,S,P,S,S_S-P,Камень для оград был завезен с лучшей итальянской каменоломни.,Камень для оград,был завезен с лучшей итальянской каменоломни.,0.8532022,-4.431003,5.2842052,0.8532022
361,2,46,2,P,P,S,S_P-P,Кирпичи для дач был привезен со склада бракованной продукции.,Кирпичи для дач,был привезен со склада бракованной продукции.,-3.280262,-1.3541679,1.9260941,-1.3541679
363,4,46,2,S,S,S,S_S-S,Кирпич для дачи был привезен со склада бракованной продукции.,Кирпич для дачи,был привезен со склада бракованной продукции.,0.8042956,-3.212439,4.0167345999999995,0.8042956
365,6,46,2,S,P,S,S_S-P,Кирпич для дач был привезен со склада бракованной продукции.,Кирпич для дач,был привезен со склада бракованной продукции.,0.29001397,-5.6202073,5.91022127,0.29001397
367,8,46,2,P,S,S,S_P-S,Кирпичи для дачи был привезен со склада бракованной продукции.,Кирпичи для дачи,был привезен со склада бракованной продукции.,-2.6301095,-0.16242737,2.46768213,-0.16242737
368,1,47,2,P,P,S,S_P-P,Ключи от шкатулок был ржавым из-за высокой влажности воздуха.,Ключи от шкатулок,был ржавым из-за высокой влажности воздуха.,-1.3662453,3.1211789,4.4874241999999995,3.1211789
370,3,47,2,S,S,S,S_S-S,Ключ от шкатулки был ржавым из-за высокой влажности воздуха.,Ключ от шкатулки,был ржавым из-за высокой влажности воздуха.,2.180869,-1.6854402,3.8663092,2.180869
372,5,47,2,S,P,S,S_S-P,Ключ от шкатулок был ржавым из-за высокой влажности воздуха.,Ключ от шкатулок,был ржавым из-за высокой влажности воздуха.,1.7291383,-1.4142519,3.1433902,1.7291383
374,7,47,2,P,S,S,S_P-S,Ключи от шкатулки был ржавым из-за высокой влажности воздуха.,Ключи от шкатулки,был ржавым из-за высокой влажности воздуха.,-0.44480678,3.3528879,3.7976946799999998,3.3528879
377,2,48,2,S,S,S,S_S-S,Комната для вечеринки была просторной из-за малого количества мебели.,Комната для вечеринки,была просторной из-за малого количества мебели.,3.0104764,-4.483878,7.4943544,3.0104764
379,4,48,2,S,P,S,S_S-P,Комната для вечеринок была просторной из-за малого количества мебели.,Комната для вечеринок,была просторной из-за малого количества мебели.,2.5407972,-3.7243502,6.2651474,2.5407972
381,6,48,2,P,S,S,S_P-S,Комнаты для вечеринки была просторной из-за малого количества мебели.,Комнаты для вечеринки,была просторной из-за малого количества мебели.,0.07884616,2.507549,2.42870284,2.507549
383,8,48,2,P,P,S,S_P-P,Комнаты для вечеринок была просторной из-за малого количества мебели.,Комнаты для вечеринок,была просторной из-за малого количества мебели.,-1.3569168,2.7855039,4.142420700000001,2.7855039
384,1,49,2,S,S,S,S_S-S,Кондиционер для помещения был неисправен из-за ошибки заводских сборщиков.,Кондиционер для помещения,был неисправен из-за ошибки заводских сборщиков.,0.7970003,-4.926162,5.723162299999999,0.7970003
386,3,49,2,S,P,S,S_S-P,Кондиционер для помещений был неисправен из-за ошибки заводских сборщиков.,Кондиционер для помещений,был неисправен из-за ошибки заводских сборщиков.,-0.4303533,-4.582796,4.1524427,-0.4303533
388,5,49,2,P,S,S,S_P-S,Кондиционеры для помещения был неисправен из-за ошибки заводских сборщиков.,Кондиционеры для помещения,был неисправен из-за ошибки заводских сборщиков.,-2.6592357,-0.37200913,2.28722657,-0.37200913
390,7,49,2,P,P,S,S_P-P,Кондиционеры для помещений был неисправен из-за ошибки заводских сборщиков.,Кондиционеры для помещений,был неисправен из-за ошибки заводских сборщиков.,-3.1409855,-0.40088323,2.7401022700000004,-0.40088323
393,2,50,2,S,P,S,S_S-P,Коробка для красок была картонной из-за экологических убеждений производителя.,Коробка для красок,была картонной из-за экологических убеждений производителя.,2.2847576,-2.3314066,4.6161642,2.2847576
395,4,50,2,P,S,S,S_P-S,Коробки для краски была картонной из-за экологических убеждений производителя.,Коробки для краски,была картонной из-за экологических убеждений производителя.,-1.7273282,2.097079,3.8244072,2.097079
397,6,50,2,P,P,S,S_P-P,Коробки для красок была картонной из-за экологических убеждений производителя.,Коробки для красок,была картонной из-за экологических убеждений производителя.,-1.621698,2.5169637,4.1386617,2.5169637
399,8,50,2,S,S,S,S_S-S,Коробка для краски была картонной из-за экологических убеждений производителя.,Коробка для краски,была картонной из-за экологических убеждений производителя.,1.3454493,-3.1507664,4.4962157000000005,1.3454493
400,1,51,2,S,P,S,S_S-P,Лекарство от болезней было доступным для отдельных категорий граждан.,Лекарство от болезней,было доступным для отдельных категорий граждан.,-0.5954908,-4.1890817,3.5935909,-0.5954908
402,3,51,2,P,S,S,S_P-S,Лекарства от болезни было доступным для отдельных категорий граждан.,Лекарства от болезни,было доступным для отдельных категорий граждан.,-2.0637933999999998,-0.60034686,1.4634465399999996,-0.60034686
404,5,51,2,P,P,S,S_P-P,Лекарства от болезней было доступным для отдельных категорий граждан.,Лекарства от болезней,было доступным для отдельных категорий граждан.,-3.5367212,-1.1371561,2.3995651000000002,-1.1371561
406,7,51,2,S,S,S,S_S-S,Лекарство от болезни было доступным для отдельных категорий граждан.,Лекарство от болезни,было доступным для отдельных категорий граждан.,0.047644116,-3.2649107,3.312554816,0.047644116
409,2,52,2,P,S,S,S_P-S,Лимузины для свадьбы был белым с яркими розовыми бантами.,Лимузины для свадьбы,был белым с яркими розовыми бантами.,-1.9832487,1.103395,3.0866436999999998,1.103395
411,4,52,2,P,P,S,S_P-P,Лимузины для свадеб был белым с яркими розовыми бантами.,Лимузины для свадеб,был белым с яркими розовыми бантами.,-2.3487806,0.671623,3.0204036,0.671623
413,6,52,2,S,S,S,S_S-S,Лимузин для свадьбы был белым с яркими розовыми бантами.,Лимузин для свадьбы,был белым с яркими розовыми бантами.,2.5258877,-3.041341,5.5672287,2.5258877
415,8,52,2,S,P,S,S_S-P,Лимузин для свадеб был белым с яркими розовыми бантами.,Лимузин для свадеб,был белым с яркими розовыми бантами.,1.6957592,-3.1201897,4.8159489,1.6957592
416,1,53,2,P,S,S,S_P-S,Лозунги из листовки был придуман с целью привлечения внимания.,Лозунги из листовки,был придуман с целью привлечения внимания.,-0.7563578,2.3073757,3.0637335,2.3073757
418,3,53,2,P,P,S,S_P-P,Лозунги из листовок был придуман с целью привлечения внимания.,Лозунги из листовок,был придуман с целью привлечения внимания.,-1.2890582,2.5703301,3.8593883,2.5703301
420,5,53,2,S,S,S,S_S-S,Лозунг из листовки был придуман с целью привлечения внимания.,Лозунг из листовки,был придуман с целью привлечения внимания.,2.745212,-3.222506,5.967718,2.745212
422,7,53,2,S,P,S,S_S-P,Лозунг из листовок был придуман с целью привлечения внимания.,Лозунг из листовок,был придуман с целью привлечения внимания.,3.1794071,-2.5502713,5.7296784,3.1794071
425,2,54,2,P,P,S,S_P-P,Массовки для съемок была набрана из числа местных студентов.,Массовки для съемок,была набрана из числа местных студентов.,-1.2918004,1.1106275,2.4024279,1.1106275
427,4,54,2,S,S,S,S_S-S,Массовка для съемки была набрана из числа местных студентов.,Массовка для съемки,была набрана из числа местных студентов.,1.6105056,-2.880809,4.4913146,1.6105056
429,6,54,2,S,P,S,S_S-P,Массовка для съемок была набрана из числа местных студентов.,Массовка для съемок,была набрана из числа местных студентов.,1.1834688,-3.7314777,4.9149465,1.1834688
431,8,54,2,P,S,S,S_P-S,Массовки для съемки была набрана из числа местных студентов.,Массовки для съемки,была набрана из числа местных студентов.,-0.98905873,1.7661202,2.75517893,1.7661202
432,1,55,2,P,P,S,S_P-P,Материалы для крыш был бракованным из-за нарушения режима хранения.,Материалы для крыш,был бракованным из-за нарушения режима хранения.,-2.6685023,-0.98785913,1.6806431700000002,-0.98785913
434,3,55,2,S,S,S,S_S-S,Материал для крыши был бракованным из-за нарушения режима хранения.,Материал для крыши,был бракованным из-за нарушения режима хранения.,3.0040648,-2.6015632,5.605628,3.0040648
436,5,55,2,S,P,S,S_S-P,Материал для крыш был бракованным из-за нарушения режима хранения.,Материал для крыш,был бракованным из-за нарушения режима хранения.,1.4248164,-4.200417,5.6252334,1.4248164
438,7,55,2,P,S,S,S_P-S,Материалы для крыши был бракованным из-за нарушения режима хранения.,Материалы для крыши,был бракованным из-за нарушения режима хранения.,-2.1221597,0.034693673,2.156853373,0.034693673
441,2,56,2,S,S,S,S_S-S,Мотор для лодки был заказан с учётом пожеланий рыбаков.,Мотор для лодки,был заказан с учётом пожеланий рыбаков.,2.019788,-3.2523923,5.2721803000000005,2.019788
443,4,56,2,S,P,S,S_S-P,Мотор для лодок был заказан с учётом пожеланий рыбаков.,Мотор для лодок,был заказан с учётом пожеланий рыбаков.,0.54356027,-3.42036,3.96392027,0.54356027
445,6,56,2,P,S,S,S_P-S,Моторы для лодки был заказан с учётом пожеланий рыбаков.,Моторы для лодки,был заказан с учётом пожеланий рыбаков.,-0.6109787,1.1047549,1.7157336,1.1047549
447,8,56,2,P,P,S,S_P-P,Моторы для лодок был заказан с учётом пожеланий рыбаков.,Моторы для лодок,был заказан с учётом пожеланий рыбаков.,-1.6854658,-0.22421461,1.46125119,-0.22421461
448,1,57,2,S,S,S,S_S-S,Мяч для игры был разработан для детских дошкольных учреждений.,Мяч для игры,был разработан для детских дошкольных учреждений.,2.0133533,-2.1911645,4.2045178,2.0133533
450,3,57,2,S,P,S,S_S-P,Мяч для игр был разработан для детских дошкольных учреждений.,Мяч для игр,был разработан для детских дошкольных учреждений.,0.72095597,-2.6842284,3.4051843699999997,0.72095597
452,5,57,2,P,S,S,S_P-S,Мячи для игры был разработан для детских дошкольных учреждений.,Мячи для игры,был разработан для детских дошкольных учреждений.,-2.9582424,2.3648148,5.3230572,2.3648148
454,7,57,2,P,P,S,S_P-P,Мячи для игр был разработан для детских дошкольных учреждений.,Мячи для игр,был разработан для детских дошкольных учреждений.,-2.6109076,2.205049,4.8159566,2.205049
457,2,58,2,S,P,S,S_S-P,Перелом из-за падений был тяжелым из-за преклонного возраста альпиниста.,Перелом из-за падений,был тяжелым из-за преклонного возраста альпиниста.,2.9942513,-2.196033,5.1902843,2.9942513
459,4,58,2,P,S,S,S_P-S,Переломы из-за падения был тяжелым из-за преклонного возраста альпиниста.,Переломы из-за падения,был тяжелым из-за преклонного возраста альпиниста.,-2.277732,0.5646069,2.8423388999999997,0.5646069
461,6,58,2,P,P,S,S_P-P,Переломы из-за падений был тяжелым из-за преклонного возраста альпиниста.,Переломы из-за падений,был тяжелым из-за преклонного возраста альпиниста.,-0.6835634,2.1475263,2.8310897,2.1475263
463,8,58,2,S,S,S,S_S-S,Перелом из-за падения был тяжелым из-за преклонного возраста альпиниста.,Перелом из-за падения,был тяжелым из-за преклонного возраста альпиниста.,1.3004813,-3.3734987,4.67398,1.3004813
464,1,59,2,S,P,S,S_S-P,Пристань для яхт была мокрой из-за высоких штормовых волн.,Пристань для яхт,была мокрой из-за высоких штормовых волн.,2.4151912,-3.0664608,5.481652,2.4151912
466,3,59,2,P,S,S,S_P-S,Пристани для яхты была мокрой из-за высоких штормовых волн.,Пристани для яхты,была мокрой из-за высоких штормовых волн.,0.042335913,2.4226775,2.3803415869999998,2.4226775
468,5,59,2,P,P,S,S_P-P,Пристани для яхт была мокрой из-за высоких штормовых волн.,Пристани для яхт,была мокрой из-за высоких штормовых волн.,-0.97888005,1.8444147,2.82329475,1.8444147
470,7,59,2,S,S,S,S_S-S,Пристань для яхты была мокрой из-за высоких штормовых волн.,Пристань для яхты,была мокрой из-за высоких штормовых волн.,2.5846577,-2.2284427,4.8131004,2.5846577
473,2,60,2,P,S,S,S_P-S,Пропуски из-за травмы был согласован с главным врачом команды.,Пропуски из-за травмы,был согласован с главным врачом команды.,-1.4469553,2.433055,3.8800103,2.433055
475,4,60,2,P,P,S,S_P-P,Пропуски из-за травм был согласован с главным врачом команды.,Пропуски из-за травм,был согласован с главным врачом команды.,-2.714886,2.8875992,5.6024852,2.8875992
477,6,60,2,S,S,S,S_S-S,Пропуск из-за травмы был согласован с главным врачом команды.,Пропуск из-за травмы,был согласован с главным врачом команды.,2.581084,-3.360402,5.941486,2.581084
479,8,60,2,S,P,S,S_S-P,Пропуск из-за травм был согласован с главным врачом команды.,Пропуск из-за травм,был согласован с главным врачом команды.,2.64144,-1.9464142,4.5878542,2.64144
480,1,61,2,P,S,S,S_P-S,Рассказы об аварии был приукрашен для усиления эмоционального напряжения.,Рассказы об аварии,был приукрашен для усиления эмоционального напряжения.,-1.8868878,0.7738781,2.6607659,0.7738781
482,3,61,2,P,P,S,S_P-P,Рассказы об авариях был приукрашен для усиления эмоционального напряжения.,Рассказы об авариях,был приукрашен для усиления эмоционального напряжения.,-0.96359825,1.1407418,2.1043400500000002,1.1407418
484,5,61,2,S,S,S,S_S-S,Рассказ об аварии был приукрашен для усиления эмоционального напряжения.,Рассказ об аварии,был приукрашен для усиления эмоционального напряжения.,2.144516,-4.4419165,6.586432499999999,2.144516
486,7,61,2,S,P,S,S_S-P,Рассказ об авариях был приукрашен для усиления эмоционального напряжения.,Рассказ об авариях,был приукрашен для усиления эмоционального напряжения.,1.9416878,-3.8844151,5.8261029,1.9416878
489,2,62,2,P,P,S,S_P-P,Репортажи для газет был написан после разрешения публичной огласки.,Репортажи для газет,был написан после разрешения публичной огласки.,-2.1616986,1.2726002,3.4342987999999997,1.2726002
491,4,62,2,S,S,S,S_S-S,Репортаж для газеты был написан после разрешения публичной огласки.,Репортаж для газеты,был написан после разрешения публичной огласки.,1.037828,-4.1553884,5.1932164,1.037828
493,6,62,2,S,P,S,S_S-P,Репортаж для газет был написан после разрешения публичной огласки.,Репортаж для газет,был написан после разрешения публичной огласки.,1.3215419,-1.4562315,2.7777734,1.3215419
495,8,62,2,P,S,S,S_P-S,Репортажи для газеты был написан после разрешения публичной огласки.,Репортажи для газеты,был написан после разрешения публичной огласки.,-2.1256585,-0.070292905,2.055365595,-0.070292905
496,1,63,2,P,P,S,S_P-P,Скандалы из-за статей был масштабным в глазах непосредственных участников.,Скандалы из-за статей,был масштабным в глазах непосредственных участников.,-1.83593,0.46859658,2.30452658,0.46859658
498,3,63,2,S,S,S,S_S-S,Скандал из-за статьи был масштабным в глазах непосредственных участников.,Скандал из-за статьи,был масштабным в глазах непосредственных участников.,1.2648786,-5.2631855,6.5280641,1.2648786
500,5,63,2,S,P,S,S_S-P,Скандал из-за статей был масштабным в глазах непосредственных участников.,Скандал из-за статей,был масштабным в глазах непосредственных участников.,0.88188773,-3.5466256,4.42851333,0.88188773
502,7,63,2,P,S,S,S_P-S,Скандалы из-за статьи был масштабным в глазах непосредственных участников.,Скандалы из-за статьи,был масштабным в глазах непосредственных участников.,-1.5422798,0.7791277,2.3214075,0.7791277
505,2,64,2,S,S,S,S_S-S,Скидка от авиакомпании была беспрецедентной из-за недавнего крушения самолёта.,Скидка от авиакомпании,была беспрецедентной из-за недавнего крушения самолёта.,1.1262426,-3.646192,4.7724346,1.1262426
507,4,64,2,S,P,S,S_S-P,Скидка от авиакомпаний была беспрецедентной из-за недавнего крушения самолёта.,Скидка от авиакомпаний,была беспрецедентной из-за недавнего крушения самолёта.,0.2648604,-4.1590776,4.423938,0.2648604
509,6,64,2,P,S,S,S_P-S,Скидки от авиакомпании была беспрецедентной из-за недавнего крушения самолёта.,Скидки от авиакомпании,была беспрецедентной из-за недавнего крушения самолёта.,-2.4961302,-0.021433711,2.4746964890000003,-0.021433711
511,8,64,2,P,P,S,S_P-P,Скидки от авиакомпаний была беспрецедентной из-за недавнего крушения самолёта.,Скидки от авиакомпаний,была беспрецедентной из-за недавнего крушения самолёта.,-2.7320998,-0.06911278,2.6629870199999996,-0.06911278
