Prot,Sent,Group,N1,N2,Pred,Code,Sentence
5,40,2,S,P,P,P_S-P,Задержка из-за наводнений были пугающими из-за отсутствия достоверной информации.
6,40,2,P,S,S,S_P-S,Задержки из-за наводнения была пугающей из-за отсутствия достоверной информации.
7,40,2,P,S,P,P_P-S,Задержки из-за наводнения были пугающими из-за отсутствия достоверной информации.
8,40,2,P,P,S,S_P-P,Задержки из-за наводнений была пугающей из-за отсутствия достоверной информации.
1,41,2,S,S,S,S_S-S,Зал для заседания был громадным по масштабам небольшого городка.
2,41,2,S,S,P,P_S-S,Зал для заседания были громадными по масштабам небольшого городка.
3,41,2,S,P,S,S_S-P,Зал для заседаний был громадным по масштабам небольшого городка.
4,41,2,S,P,P,P_S-P,Зал для заседаний были громадными по масштабам небольшого городка.
5,41,2,P,S,S,S_P-S,Залы для заседания был громадным по масштабам небольшого городка.
6,41,2,P,S,P,P_P-S,Залы для заседания были громадными по масштабам небольшого городка.
7,41,2,P,P,S,S_P-P,Залы для заседаний был громадным по масштабам небольшого городка.
8,41,2,P,P,P,P_P-P,Залы для заседаний были громадными по масштабам небольшого городка.
1,42,2,S,S,P,P_S-S,Запчасть для иномарки были старыми по меркам современного автовладельца.
2,42,2,S,P,S,S_S-P,Запчасть для иномарок была старой по меркам современного автовладельца.
3,42,2,S,P,P,P_S-P,Запчасть для иномарок были старыми по меркам современного автовладельца.
4,42,2,P,S,S,S_P-S,Запчасти для иномарки была старой по меркам современного автовладельца.
5,42,2,P,S,P,P_P-S,Запчасти для иномарки были старыми по меркам современного автовладельца.
6,42,2,P,P,S,S_P-P,Запчасти для иномарок была старой по меркам современного автовладельца.
7,42,2,P,P,P,P_P-P,Запчасти для иномарок были старыми по меркам современного автовладельца.
8,42,2,S,S,S,S_S-S,Запчасть для иномарки была старой по меркам современного автовладельца.
1,43,2,S,P,S,S_S-P,Исключение из правил было выписано на аккуратно свернутую шпаргалку.
2,43,2,S,P,P,P_S-P,Исключение из правил были выписаны на аккуратно свернутую шпаргалку.
3,43,2,P,S,S,S_P-S,Исключения из правила было выписано на аккуратно свернутую шпаргалку.
4,43,2,P,S,P,P_P-S,Исключения из правила были выписаны на аккуратно свернутую шпаргалку.
5,43,2,P,P,S,S_P-P,Исключения из правил было выписано на аккуратно свернутую шпаргалку.
6,43,2,P,P,P,P_P-P,Исключения из правил были выписаны на аккуратно свернутую шпаргалку.
7,43,2,S,S,S,S_S-S,Исключение из правила было выписано на аккуратно свернутую шпаргалку.
8,43,2,S,S,P,P_S-S,Исключение из правила были выписаны на аккуратно свернутую шпаргалку.
1,44,2,S,P,P,P_S-P,Истерика из-за оценок были бурными по мнению родителей девочки.
2,44,2,P,S,S,S_P-S,Истерики из-за оценки была бурной по мнению родителей девочки.
3,44,2,P,S,P,P_P-S,Истерики из-за оценки были бурными по мнению родителей девочки.
4,44,2,P,P,S,S_P-P,Истерики из-за оценок была бурной по мнению родителей девочки.
5,44,2,P,P,P,P_P-P,Истерики из-за оценок были бурными по мнению родителей девочки.
6,44,2,S,S,S,S_S-S,Истерика из-за оценки была бурной по мнению родителей девочки.
7,44,2,S,S,P,P_S-S,Истерика из-за оценки были бурными по мнению родителей девочки.
8,44,2,S,P,S,S_S-P,Истерика из-за оценок была бурной по мнению родителей девочки.
1,45,2,P,S,S,S_P-S,Камни для ограды был завезен с лучшей итальянской каменоломни.
2,45,2,P,S,P,P_P-S,Камни для ограды были завезены с лучшей итальянской каменоломни.
3,45,2,P,P,S,S_P-P,Камни для оград был завезен с лучшей итальянской каменоломни.
4,45,2,P,P,P,P_P-P,Камни для оград были завезены с лучшей итальянской каменоломни.
5,45,2,S,S,S,S_S-S,Камень для ограды  был завезен с лучшей итальянской каменоломни.
6,45,2,S,S,P,P_S-S,Камень для ограды  были завезены с лучшей итальянской каменоломни.
7,45,2,S,P,S,S_S-P,Камень для оград был завезен с лучшей итальянской каменоломни.
8,45,2,S,P,P,P_S-P,Камень для оград были завезены с лучшей итальянской каменоломни.
1,46,2,P,S,P,P_P-S,Кирпичи для дачи были привезены со склада бракованной продукции.
2,46,2,P,P,S,S_P-P,Кирпичи для дач был привезен со склада бракованной продукции.
3,46,2,P,P,P,P_P-P,Кирпичи для дач были привезены со склада бракованной продукции.
4,46,2,S,S,S,S_S-S,Кирпич для дачи был привезен со склада бракованной продукции.
5,46,2,S,S,P,P_S-S,Кирпич для дачи были привезены со склада бракованной продукции.
6,46,2,S,P,S,S_S-P,Кирпич для дач был привезен со склада бракованной продукции.
7,46,2,S,P,P,P_S-P,Кирпич для дач были привезены со склада бракованной продукции.
8,46,2,P,S,S,S_P-S,Кирпичи для дачи был привезен со склада бракованной продукции.
1,47,2,P,P,S,S_P-P,Ключи от шкатулок был ржавым из-за высокой влажности воздуха.
2,47,2,P,P,P,P_P-P,Ключи от шкатулок были ржавыми из-за высокой влажности воздуха.
3,47,2,S,S,S,S_S-S,Ключ от шкатулки был ржавым из-за высокой влажности воздуха.
4,47,2,S,S,P,P_S-S,Ключ от шкатулки были ржавыми из-за высокой влажности воздуха.
5,47,2,S,P,S,S_S-P,Ключ от шкатулок был ржавым из-за высокой влажности воздуха.
6,47,2,S,P,P,P_S-P,Ключ от шкатулок были ржавыми из-за высокой влажности воздуха.
7,47,2,P,S,S,S_P-S,Ключи от шкатулки был ржавым из-за высокой влажности воздуха.
8,47,2,P,S,P,P_P-S,Ключи от шкатулки были ржавыми из-за высокой влажности воздуха.
1,48,2,P,P,P,P_P-P,Комнаты для вечеринок были просторными из-за малого количества мебели.
2,48,2,S,S,S,S_S-S,Комната для вечеринки была просторной из-за малого количества мебели.
3,48,2,S,S,P,P_S-S,Комната для вечеринки были просторными из-за малого количества мебели.
4,48,2,S,P,S,S_S-P,Комната для вечеринок была просторной из-за малого количества мебели.
5,48,2,S,P,P,P_S-P,Комната для вечеринок были просторными из-за малого количества мебели.
6,48,2,P,S,S,S_P-S,Комнаты для вечеринки была просторной из-за малого количества мебели.
7,48,2,P,S,P,P_P-S,Комнаты для вечеринки были просторными из-за малого количества мебели.
8,48,2,P,P,S,S_P-P,Комнаты для вечеринок была просторной из-за малого количества мебели.
1,49,2,S,S,S,S_S-S,Кондиционер для помещения был неисправен из-за ошибки заводских сборщиков.
2,49,2,S,S,P,P_S-S,Кондиционер для помещения были неисправны из-за ошибки заводских сборщиков.
3,49,2,S,P,S,S_S-P,Кондиционер для помещений был неисправен из-за ошибки заводских сборщиков.
4,49,2,S,P,P,P_S-P,Кондиционер для помещений были неисправны из-за ошибки заводских сборщиков.
5,49,2,P,S,S,S_P-S,Кондиционеры для помещения был неисправен из-за ошибки заводских сборщиков.
6,49,2,P,S,P,P_P-S,Кондиционеры для помещения были неисправны из-за ошибки заводских сборщиков.
7,49,2,P,P,S,S_P-P,Кондиционеры для помещений был неисправен из-за ошибки заводских сборщиков.
8,49,2,P,P,P,P_P-P,Кондиционеры для помещений были неисправны из-за ошибки заводских сборщиков.
1,50,2,S,S,P,P_S-S,Коробка для краски были картонными из-за экологических убеждений производителя.
2,50,2,S,P,S,S_S-P,Коробка для красок была картонной из-за экологических убеждений производителя.
3,50,2,S,P,P,P_S-P,Коробка для красок были картонными из-за экологических убеждений производителя.
4,50,2,P,S,S,S_P-S,Коробки для краски была картонной из-за экологических убеждений производителя.
5,50,2,P,S,P,P_P-S,Коробки для краски были картонными из-за экологических убеждений производителя.
6,50,2,P,P,S,S_P-P,Коробки для красок была картонной из-за экологических убеждений производителя.
7,50,2,P,P,P,P_P-P,Коробки для красок были картонными из-за экологических убеждений производителя.
8,50,2,S,S,S,S_S-S,Коробка для краски была картонной из-за экологических убеждений производителя.
1,51,2,S,P,S,S_S-P,Лекарство от болезней было доступным для отдельных категорий граждан.
2,51,2,S,P,P,P_S-P,Лекарство от болезней были доступными для отдельных категорий граждан.
3,51,2,P,S,S,S_P-S,Лекарства от болезни было доступным для отдельных категорий граждан.
4,51,2,P,S,P,P_P-S,Лекарства от болезни были доступными для отдельных категорий граждан.
5,51,2,P,P,S,S_P-P,Лекарства от болезней было доступным для отдельных категорий граждан.
6,51,2,P,P,P,P_P-P,Лекарства от болезней были доступными для отдельных категорий граждан.
7,51,2,S,S,S,S_S-S,Лекарство от болезни было доступным для отдельных категорий граждан.
8,51,2,S,S,P,P_S-S,Лекарство от болезни были доступными для отдельных категорий граждан.
1,52,2,S,P,P,P_S-P,Лимузин для свадеб были белыми с яркими розовыми бантами.
2,52,2,P,S,S,S_P-S,Лимузины для свадьбы был белым с яркими розовыми бантами.
3,52,2,P,S,P,P_P-S,Лимузины для свадьбы были белыми с яркими розовыми бантами.
4,52,2,P,P,S,S_P-P,Лимузины для свадеб был белым с яркими розовыми бантами.
5,52,2,P,P,P,P_P-P,Лимузины для свадеб были белыми с яркими розовыми бантами.
6,52,2,S,S,S,S_S-S,Лимузин для свадьбы был белым с яркими розовыми бантами.
7,52,2,S,S,P,P_S-S,Лимузин для свадьбы были белыми с яркими розовыми бантами.
8,52,2,S,P,S,S_S-P,Лимузин для свадеб был белым с яркими розовыми бантами.
1,53,2,P,S,S,S_P-S,Лозунги из листовки был придуман с целью привлечения внимания.
2,53,2,P,S,P,P_P-S,Лозунги из листовки были придуманы с целью привлечения внимания.
3,53,2,P,P,S,S_P-P,Лозунги из листовок был придуман с целью привлечения внимания.
4,53,2,P,P,P,P_P-P,Лозунги из листовок были придуманы с целью привлечения внимания.
5,53,2,S,S,S,S_S-S,Лозунг из листовки был придуман с целью привлечения внимания.
6,53,2,S,S,P,P_S-S,Лозунг из листовки были придуманы с целью привлечения внимания.
7,53,2,S,P,S,S_S-P,Лозунг из листовок был придуман с целью привлечения внимания.
8,53,2,S,P,P,P_S-P,Лозунг из листовок были придуманы с целью привлечения внимания.
1,54,2,P,S,P,P_P-S,Массовки для съемки были набраны из числа местных студентов.
2,54,2,P,P,S,S_P-P,Массовки для съемок была набрана из числа местных студентов.
3,54,2,P,P,P,P_P-P,Массовки для съемок были набраны из числа местных студентов.
4,54,2,S,S,S,S_S-S,Массовка для съемки была набрана из числа местных студентов.
5,54,2,S,S,P,P_S-S,Массовка для съемки были набраны из числа местных студентов.
6,54,2,S,P,S,S_S-P,Массовка для съемок была набрана из числа местных студентов.
7,54,2,S,P,P,P_S-P,Массовка для съемок были набраны из числа местных студентов.
8,54,2,P,S,S,S_P-S,Массовки для съемки была набрана из числа местных студентов.
1,55,2,P,P,S,S_P-P,Материалы для крыш был бракованным из-за нарушения режима хранения.
2,55,2,P,P,P,P_P-P,Материалы для крыш были бракованными из-за нарушения режима хранения.
3,55,2,S,S,S,S_S-S,Материал для крыши был бракованным из-за нарушения режима хранения.
4,55,2,S,S,P,P_S-S,Материал для крыши были бракованными из-за нарушения режима хранения.
5,55,2,S,P,S,S_S-P,Материал для крыш был бракованным из-за нарушения режима хранения.
6,55,2,S,P,P,P_S-P,Материал для крыш были бракованными из-за нарушения режима хранения.
7,55,2,P,S,S,S_P-S,Материалы для крыши был бракованным из-за нарушения режима хранения.
8,55,2,P,S,P,P_P-S,Материалы для крыши были бракованными из-за нарушения режима хранения.
1,56,2,P,P,P,P_P-P,Моторы для лодок были заказаны с учётом пожеланий рыбаков.
2,56,2,S,S,S,S_S-S,Мотор для лодки был заказан с учётом пожеланий рыбаков.
3,56,2,S,S,P,P_S-S,Мотор для лодки были заказаны с учётом пожеланий рыбаков.
4,56,2,S,P,S,S_S-P,Мотор для лодок был заказан с учётом пожеланий рыбаков.
5,56,2,S,P,P,P_S-P,Мотор для лодок были заказаны с учётом пожеланий рыбаков.
6,56,2,P,S,S,S_P-S,Моторы для лодки был заказан с учётом пожеланий рыбаков.
7,56,2,P,S,P,P_P-S,Моторы для лодки были заказаны с учётом пожеланий рыбаков.
8,56,2,P,P,S,S_P-P,Моторы для лодок был заказан с учётом пожеланий рыбаков.
1,57,2,S,S,S,S_S-S,Мяч для игры был разработан для детских дошкольных учреждений.
2,57,2,S,S,P,P_S-S,Мяч для игры были разработаны для детских дошкольных учреждений.
3,57,2,S,P,S,S_S-P,Мяч для игр был разработан для детских дошкольных учреждений.
4,57,2,S,P,P,P_S-P,Мяч для игр были разработаны для детских дошкольных учреждений.
5,57,2,P,S,S,S_P-S,Мячи для игры был разработан для детских дошкольных учреждений.
6,57,2,P,S,P,P_P-S,Мячи для игры были разработаны для детских дошкольных учреждений.
7,57,2,P,P,S,S_P-P,Мячи для игр был разработан для детских дошкольных учреждений.
8,57,2,P,P,P,P_P-P,Мячи для игр были разработаны для детских дошкольных учреждений.
1,58,2,S,S,P,P_S-S,Перелом из-за падения были тяжелыми из-за преклонного возраста альпиниста.
2,58,2,S,P,S,S_S-P,Перелом из-за падений был тяжелым из-за преклонного возраста альпиниста.
3,58,2,S,P,P,P_S-P,Перелом из-за падений были тяжелыми из-за преклонного возраста альпиниста.
4,58,2,P,S,S,S_P-S,Переломы из-за падения был тяжелым из-за преклонного возраста альпиниста.
5,58,2,P,S,P,P_P-S,Переломы из-за падения были тяжелыми из-за преклонного возраста альпиниста.
6,58,2,P,P,S,S_P-P,Переломы из-за падений был тяжелым из-за преклонного возраста альпиниста.
7,58,2,P,P,P,P_P-P,Переломы из-за падений были тяжелыми из-за преклонного возраста альпиниста.
8,58,2,S,S,S,S_S-S,Перелом из-за падения был тяжелым из-за преклонного возраста альпиниста.
1,59,2,S,P,S,S_S-P,Пристань для яхт была мокрой из-за высоких штормовых волн.
2,59,2,S,P,P,P_S-P,Пристань для яхт были мокрыми из-за высоких штормовых волн.
3,59,2,P,S,S,S_P-S,Пристани для яхты была мокрой из-за высоких штормовых волн.
4,59,2,P,S,P,P_P-S,Пристани для яхты были мокрыми из-за высоких штормовых волн.
5,59,2,P,P,S,S_P-P,Пристани для яхт была мокрой из-за высоких штормовых волн.
6,59,2,P,P,P,P_P-P,Пристани для яхт были мокрыми из-за высоких штормовых волн.
7,59,2,S,S,S,S_S-S,Пристань для яхты была мокрой из-за высоких штормовых волн.
8,59,2,S,S,P,P_S-S,Пристань для яхты были мокрыми из-за высоких штормовых волн.
1,60,2,S,P,P,P_S-P,Пропуск из-за травм были согласованы с главным врачом команды.
2,60,2,P,S,S,S_P-S,Пропуски из-за травмы был согласован с главным врачом команды.
3,60,2,P,S,P,P_P-S,Пропуски из-за травмы были согласованы с главным врачом команды.
4,60,2,P,P,S,S_P-P,Пропуски из-за травм был согласован с главным врачом команды.
5,60,2,P,P,P,P_P-P,Пропуски из-за травм были согласованы с главным врачом команды.
6,60,2,S,S,S,S_S-S,Пропуск из-за травмы был согласован с главным врачом команды.
7,60,2,S,S,P,P_S-S,Пропуск из-за травмы были согласованы с главным врачом команды.
8,60,2,S,P,S,S_S-P,Пропуск из-за травм был согласован с главным врачом команды.
1,61,2,P,S,S,S_P-S,Рассказы об аварии был приукрашен для усиления эмоционального напряжения.
2,61,2,P,S,P,P_P-S,Рассказы об аварии были приукрашены для усиления эмоционального напряжения.
3,61,2,P,P,S,S_P-P,Рассказы об авариях был приукрашен для усиления эмоционального напряжения.
4,61,2,P,P,P,P_P-P,Рассказы об авариях были приукрашены для усиления эмоционального напряжения.
5,61,2,S,S,S,S_S-S,Рассказ об аварии был приукрашен для усиления эмоционального напряжения.
6,61,2,S,S,P,P_S-S,Рассказ об аварии были приукрашены для усиления эмоционального напряжения.
7,61,2,S,P,S,S_S-P,Рассказ об авариях был приукрашен для усиления эмоционального напряжения.
8,61,2,S,P,P,P_S-P,Рассказ об авариях были приукрашены для усиления эмоционального напряжения.
1,62,2,P,S,P,P_P-S,Репортажи для газеты были написаны после разрешения публичной огласки.
2,62,2,P,P,S,S_P-P,Репортажи для газет был написан после разрешения публичной огласки.
3,62,2,P,P,P,P_P-P,Репортажи для газет были написаны после разрешения публичной огласки.
4,62,2,S,S,S,S_S-S,Репортаж для газеты был написан после разрешения публичной огласки.
5,62,2,S,S,P,P_S-S,Репортаж для газеты были написаны после разрешения публичной огласки.
6,62,2,S,P,S,S_S-P,Репортаж для газет был написан после разрешения публичной огласки.
7,62,2,S,P,P,P_S-P,Репортаж для газет были написаны после разрешения публичной огласки.
8,62,2,P,S,S,S_P-S,Репортажи для газеты был написан после разрешения публичной огласки.
1,63,2,P,P,S,S_P-P,Скандалы из-за статей был масштабным в глазах непосредственных участников.
2,63,2,P,P,P,P_P-P,Скандалы из-за статей были масштабными в глазах непосредственных участников.
3,63,2,S,S,S,S_S-S,Скандал из-за статьи был масштабным в глазах непосредственных участников.
4,63,2,S,S,P,P_S-S,Скандал из-за статьи были масштабными в глазах непосредственных участников.
5,63,2,S,P,S,S_S-P,Скандал из-за статей был масштабным в глазах непосредственных участников.
6,63,2,S,P,P,P_S-P,Скандал из-за статей были масштабными в глазах непосредственных участников.
7,63,2,P,S,S,S_P-S,Скандалы из-за статьи был масштабным в глазах непосредственных участников.
8,63,2,P,S,P,P_P-S,Скандалы из-за статьи были масштабными в глазах непосредственных участников.
1,64,2,P,P,P,P_P-P,Скидки от авиакомпаний были беспрецедентными из-за недавнего крушения самолёта.
2,64,2,S,S,S,S_S-S,Скидка от авиакомпании была беспрецедентной из-за недавнего крушения самолёта.
3,64,2,S,S,P,P_S-S,Скидка от авиакомпании были беспрецедентными из-за недавнего крушения самолёта.
4,64,2,S,P,S,S_S-P,Скидка от авиакомпаний была беспрецедентной из-за недавнего крушения самолёта.
5,64,2,S,P,P,P_S-P,Скидка от авиакомпаний были беспрецедентными из-за недавнего крушения самолёта.
6,64,2,P,S,S,S_P-S,Скидки от авиакомпании была беспрецедентной из-за недавнего крушения самолёта.
7,64,2,P,S,P,P_P-S,Скидки от авиакомпании были беспрецедентными из-за недавнего крушения самолёта.
8,64,2,P,P,S,S_P-P,Скидки от авиакомпаний была беспрецедентной из-за недавнего крушения самолёта.
