,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,p_w1,p_w2,p_phrase,compatibility_score,leftA,rightA,p_w1A,p_w2A,compatibility_scoreA
115,4.0,15.0,1.0,S,S,P,P_S-S,Лестница в подвал были крутыми из-за отсутствия свободного места.,Лестница в подвал,были крутыми из-за отсутствия свободного места.,-25.296875,-48.34375,-72.75,0.890625,Лестница в подвал были,крутыми из-за отсутствия свободного места.,-38.3125,-48.65625,14.21875
116,5.0,15.0,1.0,S,P,S,S_S-P,Лестница в подвалы была крутой из-за отсутствия свободного места.,Лестница в подвалы,была крутой из-за отсутствия свободного места.,-27.515625,-50.8125,-70.0,8.328125,Лестница в подвалы была,крутой из-за отсутствия свободного места.,-34.84375,-46.84375,11.6875
117,6.0,15.0,1.0,S,P,P,P_S-P,Лестница в подвалы были крутыми из-за отсутствия свободного места.,Лестница в подвалы,были крутыми из-за отсутствия свободного места.,-27.515625,-48.34375,-73.8125,2.046875,Лестница в подвалы были,крутыми из-за отсутствия свободного места.,-39.875,-48.65625,14.71875
118,7.0,15.0,1.0,P,S,S,S_P-S,Лестницы в подвал была крутой из-за отсутствия свободного места.,Лестницы в подвал,была крутой из-за отсутствия свободного места.,-29.0625,-50.8125,-76.375,3.5,Лестницы в подвал была,крутой из-за отсутствия свободного места.,-42.46875,-46.84375,12.9375
119,8.0,15.0,1.0,P,S,P,P_P-S,Лестницы в подвал были крутыми из-за отсутствия свободного места.,Лестницы в подвал,были крутыми из-за отсутствия свободного места.,-29.0625,-48.34375,-72.0625,5.34375,Лестницы в подвал были,крутыми из-за отсутствия свободного места.,-38.21875,-48.65625,14.8125
120,1.0,16.0,1.0,P,P,P,P_P-P,Мосты через овраги были возведены после окончания военных действий.,Мосты через овраги,были возведены после окончания военных действий.,-28.515625,-43.0625,-62.71875,8.859375,Мосты через овраги были,возведены после окончания военных действий.,-37.875,-42.0,17.15625
121,2.0,16.0,1.0,S,S,S,S_S-S,Мост через овраг был возведён после окончания военных действий.,Мост через овраг,был возведён после окончания военных действий.,-24.671875,-44.28125,-61.1875,7.765625,Мост через овраг был,возведён после окончания военных действий.,-32.75,-42.03125,13.59375
122,3.0,16.0,1.0,S,S,P,P_S-S,Мост через овраг были возведены после окончания военных действий.,Мост через овраг,были возведены после окончания военных действий.,-24.671875,-43.0625,-62.4375,5.296875,Мост через овраг были,возведены после окончания военных действий.,-37.78125,-42.0,17.34375
123,4.0,16.0,1.0,S,P,S,S_S-P,Мост через овраги был возведён после окончания военных действий.,Мост через овраги,был возведён после окончания военных действий.,-27.078125,-44.28125,-61.875,9.484375,Мост через овраги был,возведён после окончания военных действий.,-35.125,-42.03125,15.28125
124,5.0,16.0,1.0,S,P,P,P_S-P,Мост через овраги были возведены после окончания военных действий.,Мост через овраги,были возведены после окончания военных действий.,-27.078125,-43.0625,-63.65625,6.484375,Мост через овраги были,возведены после окончания военных действий.,-38.84375,-42.0,17.1875
125,6.0,16.0,1.0,P,S,S,S_P-S,Мосты через овраг был возведён после окончания военных действий.,Мосты через овраг,был возведён после окончания военных действий.,-30.46875,-44.28125,-67.375,7.375,Мосты через овраг был,возведён после окончания военных действий.,-41.9375,-42.03125,16.59375
126,7.0,16.0,1.0,P,S,P,P_P-S,Мосты через овраг были возведены после окончания военных действий.,Мосты через овраг,были возведены после окончания военных действий.,-30.46875,-43.0625,-65.5625,7.96875,Мосты через овраг были,возведены после окончания военных действий.,-40.0,-42.0,16.4375
127,8.0,16.0,1.0,P,P,S,S_P-P,Мосты через овраги был возведён после окончания военных действий.,Мосты через овраги,был возведён после окончания военных действий.,-28.515625,-44.28125,-67.375,5.421875,Мосты через овраги был,возведён после окончания военных действий.,-41.96875,-42.03125,16.625
128,1.0,17.0,1.0,S,S,S,S_S-S,Налог на доход был повышен из-за смены политического курса.,Налог на доход,был повышен из-за смены политического курса.,-25.625,-48.15625,-69.875,3.90625,Налог на доход был,повышен из-за смены политического курса.,-37.125,-46.84375,14.09375
129,2.0,17.0,1.0,S,S,P,P_S-S,Налог на доход были повышены из-за смены политического курса.,Налог на доход,были повышены из-за смены политического курса.,-25.625,-47.78125,-70.75,2.65625,Налог на доход были,повышены из-за смены политического курса.,-39.90625,-46.25,15.40625
130,3.0,17.0,1.0,S,P,S,S_S-P,Налог на доходы был повышен из-за смены политического курса.,Налог на доходы,был повышен из-за смены политического курса.,-24.671875,-48.15625,-68.1875,4.640625,Налог на доходы был,повышен из-за смены политического курса.,-33.84375,-46.84375,12.5
131,4.0,17.0,1.0,S,P,P,P_S-P,Налог на доходы были повышены из-за смены политического курса.,Налог на доходы,были повышены из-за смены политического курса.,-24.671875,-47.78125,-70.4375,2.015625,Налог на доходы были,повышены из-за смены политического курса.,-37.4375,-46.25,13.25
132,5.0,17.0,1.0,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.,Налоги на доход,был повышен из-за смены политического курса.,-27.8125,-48.15625,-71.9375,4.03125,Налоги на доход был,повышен из-за смены политического курса.,-41.4375,-46.84375,16.34375
133,6.0,17.0,1.0,P,S,P,P_P-S,Налоги на доход были повышены из-за смены политического курса.,Налоги на доход,были повышены из-за смены политического курса.,-27.8125,-47.78125,-68.4375,7.15625,Налоги на доход были,повышены из-за смены политического курса.,-38.8125,-46.25,16.625
134,7.0,17.0,1.0,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.,Налоги на доходы,был повышен из-за смены политического курса.,-26.953125,-48.15625,-71.375,3.734375,Налоги на доходы был,повышен из-за смены политического курса.,-41.65625,-46.84375,17.125
135,8.0,17.0,1.0,P,P,P,P_P-P,Налоги на доходы были повышены из-за смены политического курса.,Налоги на доходы,были повышены из-за смены политического курса.,-26.953125,-47.78125,-66.5,8.234375,Налоги на доходы были,повышены из-за смены политического курса.,-36.96875,-46.25,16.71875
136,1.0,18.0,1.0,S,S,P,P_S-S,Нападение на банк были совершены с применением холодного оружия. ,Нападение на банк,были совершены с применением холодного оружия. ,-26.703125,-37.03125,-57.8125,5.921875,Нападение на банк были,совершены с применением холодного оружия. ,-38.28125,-37.65625,18.125
137,2.0,18.0,1.0,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия. ,Нападение на банки,было совершено с применением холодного оружия. ,-28.65625,-36.65625,-55.65625,9.65625,Нападение на банки было,совершено с применением холодного оружия. ,-36.15625,-37.4375,17.9375
138,3.0,18.0,1.0,S,P,P,P_S-P,Нападение на банки были совершены с применением холодного оружия. ,Нападение на банки,были совершены с применением холодного оружия. ,-28.65625,-37.03125,-58.25,7.4375,Нападение на банки были,совершены с применением холодного оружия. ,-37.875,-37.65625,17.28125
139,4.0,18.0,1.0,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия. ,Нападения на банк,было совершено с применением холодного оружия. ,-31.078125,-36.65625,-58.375,9.359375,Нападения на банк было,совершено с применением холодного оружия. ,-38.9375,-37.4375,18.0
140,5.0,18.0,1.0,P,S,P,P_P-S,Нападения на банк были совершены с применением холодного оружия. ,Нападения на банк,были совершены с применением холодного оружия. ,-31.078125,-37.03125,-58.21875,9.890625,Нападения на банк были,совершены с применением холодного оружия. ,-38.40625,-37.65625,17.84375
141,6.0,18.0,1.0,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия. ,Нападения на банки,было совершено с применением холодного оружия. ,-29.15625,-36.65625,-59.8125,6.0,Нападения на банки было,совершено с применением холодного оружия. ,-39.4375,-37.4375,17.0625
142,7.0,18.0,1.0,P,P,P,P_P-P,Нападения на банки были совершены с применением холодного оружия. ,Нападения на банки,были совершены с применением холодного оружия. ,-29.15625,-37.03125,-56.78125,9.40625,Нападения на банки были,совершены с применением холодного оружия. ,-35.375,-37.65625,16.25
143,8.0,18.0,1.0,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия. ,Нападение на банк,было совершено с применением холодного оружия. ,-26.703125,-36.65625,-52.625,10.734375,Нападение на банк было,совершено с применением холодного оружия. ,-33.9375,-37.4375,18.75
144,1.0,19.0,1.0,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.,Окно в сады,было закрыто из-за сильного холодного ветра.,-31.5,-40.71875,-66.625,5.59375,Окно в сады было,закрыто из-за сильного холодного ветра.,-43.5,-42.21875,19.09375
145,2.0,19.0,1.0,S,P,P,P_S-P,Окно в сады были закрыты из-за сильного холодного ветра.,Окно в сады,были закрыты из-за сильного холодного ветра.,-31.5,-39.59375,-64.0625,7.03125,Окно в сады были,закрыты из-за сильного холодного ветра.,-42.125,-39.71875,17.78125
146,3.0,19.0,1.0,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.,Окна в сад,было закрыто из-за сильного холодного ветра.,-25.234375,-40.71875,-60.25,5.703125,Окна в сад было,закрыто из-за сильного холодного ветра.,-36.5625,-42.21875,18.53125
147,4.0,19.0,1.0,P,S,P,P_P-S,Окна в сад были закрыты из-за сильного холодного ветра.,Окна в сад,были закрыты из-за сильного холодного ветра.,-25.234375,-39.59375,-55.46875,9.359375,Окна в сад были,закрыты из-за сильного холодного ветра.,-34.25,-39.71875,18.5
148,5.0,19.0,1.0,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.,Окна в сады,было закрыто из-за сильного холодного ветра.,-31.234375,-40.71875,-66.625,5.328125,Окна в сады было,закрыто из-за сильного холодного ветра.,-43.375,-42.21875,18.96875
149,6.0,19.0,1.0,P,P,P,P_P-P,Окна в сады были закрыты из-за сильного холодного ветра.,Окна в сады,были закрыты из-за сильного холодного ветра.,-31.234375,-39.59375,-60.375,10.453125,Окна в сады были,закрыты из-за сильного холодного ветра.,-39.6875,-39.71875,19.03125
150,7.0,19.0,1.0,S,S,S,S_S-S,Окно в сад было закрыто из-за сильного холодного ветра.,Окно в сад,было закрыто из-за сильного холодного ветра.,-24.421875,-40.71875,-56.84375,8.296875,Окно в сад было,закрыто из-за сильного холодного ветра.,-32.90625,-42.21875,18.28125
151,8.0,19.0,1.0,S,S,P,P_S-S,Окно в сад были закрыты из-за сильного холодного ветра.,Окно в сад,были закрыты из-за сильного холодного ветра.,-24.421875,-39.59375,-59.90625,4.109375,Окно в сад были,закрыты из-за сильного холодного ветра.,-37.5,-39.71875,17.3125
152,1.0,20.0,1.0,S,P,P,P_S-P,Ответ на вопросы были неверными из-за недостаточного знания материала.,Ответ на вопросы,были неверными из-за недостаточного знания материала.,-24.84375,-50.5,-66.75,8.59375,Ответ на вопросы были,неверными из-за недостаточного знания материала.,-35.75,-47.875,16.875
153,2.0,20.0,1.0,P,S,S,S_P-S,Ответы на вопрос был неверным из-за недостаточного знания материала.,Ответы на вопрос,был неверным из-за недостаточного знания материала.,-24.140625,-51.625,-70.625,5.140625,Ответы на вопрос был,неверным из-за недостаточного знания материала.,-34.03125,-49.65625,13.0625
154,3.0,20.0,1.0,P,S,P,P_P-S,Ответы на вопрос были неверными из-за недостаточного знания материала.,Ответы на вопрос,были неверными из-за недостаточного знания материала.,-24.140625,-50.5,-64.0,10.640625,Ответы на вопрос были,неверными из-за недостаточного знания материала.,-30.96875,-47.875,14.84375
155,4.0,20.0,1.0,P,P,S,S_P-P,Ответы на вопросы был неверным из-за недостаточного знания материала.,Ответы на вопросы,был неверным из-за недостаточного знания материала.,-20.234375,-51.625,-68.25,3.609375,Ответы на вопросы был,неверным из-за недостаточного знания материала.,-32.28125,-49.65625,13.6875
156,5.0,20.0,1.0,P,P,P,P_P-P,Ответы на вопросы были неверными из-за недостаточного знания материала.,Ответы на вопросы,были неверными из-за недостаточного знания материала.,-20.234375,-50.5,-60.6875,10.046875,Ответы на вопросы были,неверными из-за недостаточного знания материала.,-27.890625,-47.875,15.078125
157,6.0,20.0,1.0,S,S,S,S_S-S,Ответ на вопрос был неверным из-за недостаточного знания материала.,Ответ на вопрос,был неверным из-за недостаточного знания материала.,-21.0625,-51.625,-59.0,13.6875,Ответ на вопрос был,неверным из-за недостаточного знания материала.,-26.796875,-49.65625,17.453125
158,7.0,20.0,1.0,S,S,P,P_S-S,Ответ на вопрос были неверными из-за недостаточного знания материала.,Ответ на вопрос,были неверными из-за недостаточного знания материала.,-21.0625,-50.5,-67.9375,3.625,Ответ на вопрос были,неверными из-за недостаточного знания материала.,-34.8125,-47.875,14.75
159,8.0,20.0,1.0,S,P,S,S_S-P,Ответ на вопросы был неверным из-за недостаточного знания материала.,Ответ на вопросы,был неверным из-за недостаточного знания материала.,-24.84375,-51.625,-64.5,11.96875,Ответ на вопросы был,неверным из-за недостаточного знания материала.,-32.5,-49.65625,17.65625
160,1.0,21.0,1.0,P,S,S,S_P-S,Очереди в театр была бесконечной из-за большого наплыва туристов.,Очереди в театр,была бесконечной из-за большого наплыва туристов.,-28.484375,-52.21875,-68.9375,11.765625,Очереди в театр была,бесконечной из-за большого наплыва туристов.,-39.28125,-50.90625,21.25
161,2.0,21.0,1.0,P,S,P,P_P-S,Очереди в театр были бесконечными из-за большого наплыва туристов.,Очереди в театр,были бесконечными из-за большого наплыва туристов.,-28.484375,-51.59375,-62.84375,17.234375,Очереди в театр были,бесконечными из-за большого наплыва туристов.,-33.6875,-50.0,20.84375
162,3.0,21.0,1.0,P,P,S,S_P-P,Очереди в театры была бесконечной из-за большого наплыва туристов.,Очереди в театры,была бесконечной из-за большого наплыва туристов.,-28.375,-52.21875,-68.375,12.21875,Очереди в театры была,бесконечной из-за большого наплыва туристов.,-39.75,-50.90625,22.28125
163,4.0,21.0,1.0,P,P,P,P_P-P,Очереди в театры были бесконечными из-за большого наплыва туристов.,Очереди в театры,были бесконечными из-за большого наплыва туристов.,-28.375,-51.59375,-62.9375,17.03125,Очереди в театры были,бесконечными из-за большого наплыва туристов.,-33.625,-50.0,20.6875
164,5.0,21.0,1.0,S,S,S,S_S-S,Очередь в театр была бесконечной из-за большого наплыва туристов.,Очередь в театр,была бесконечной из-за большого наплыва туристов.,-27.90625,-52.21875,-62.21875,17.90625,Очередь в театр была,бесконечной из-за большого наплыва туристов.,-33.375,-50.90625,22.0625
165,6.0,21.0,1.0,S,S,P,P_S-S,Очередь в театр были бесконечными из-за большого наплыва туристов.,Очередь в театр,были бесконечными из-за большого наплыва туристов.,-27.90625,-51.59375,-67.4375,12.0625,Очередь в театр были,бесконечными из-за большого наплыва туристов.,-38.75,-50.0,21.3125
166,7.0,21.0,1.0,S,P,S,S_S-P,Очередь в театры была бесконечной из-за большого наплыва туристов.,Очередь в театры,была бесконечной из-за большого наплыва туристов.,-30.71875,-52.21875,-64.25,18.6875,Очередь в театры была,бесконечной из-за большого наплыва туристов.,-35.96875,-50.90625,22.625
167,8.0,21.0,1.0,S,P,P,P_S-P,Очередь в театры были бесконечными из-за большого наплыва туристов.,Очередь в театры,были бесконечными из-за большого наплыва туристов.,-30.71875,-51.59375,-67.5625,14.75,Очередь в театры были,бесконечными из-за большого наплыва туристов.,-39.9375,-50.0,22.375
168,1.0,22.0,1.0,P,S,P,P_P-S,Переправы через ручей были опасными из-за тяжёлых погодных условий.,Переправы через ручей,были опасными из-за тяжёлых погодных условий.,-30.09375,-50.1875,-73.0,7.28125,Переправы через ручей были,опасными из-за тяжёлых погодных условий.,-39.5,-45.875,12.375
169,2.0,22.0,1.0,P,P,S,S_P-P,Переправы через ручьи была опасной из-за тяжёлых погодных условий.,Переправы через ручьи,была опасной из-за тяжёлых погодных условий.,-30.890625,-49.40625,-78.0625,2.234375,Переправы через ручьи была,опасной из-за тяжёлых погодных условий.,-45.375,-44.46875,11.78125
170,3.0,22.0,1.0,P,P,P,P_P-P,Переправы через ручьи были опасными из-за тяжёлых погодных условий.,Переправы через ручьи,были опасными из-за тяжёлых погодных условий.,-30.890625,-50.1875,-73.4375,7.640625,Переправы через ручьи были,опасными из-за тяжёлых погодных условий.,-40.46875,-45.875,12.90625
171,4.0,22.0,1.0,S,S,S,S_S-S,Переправа через ручей была опасной из-за тяжёлых погодных условий.,Переправа через ручей,была опасной из-за тяжёлых погодных условий.,-27.71875,-49.40625,-68.25,8.875,Переправа через ручей была,опасной из-за тяжёлых погодных условий.,-35.59375,-44.46875,11.8125
172,5.0,22.0,1.0,S,S,P,P_S-S,Переправа через ручей были опасными из-за тяжёлых погодных условий.,Переправа через ручей,были опасными из-за тяжёлых погодных условий.,-27.71875,-50.1875,-72.6875,5.21875,Переправа через ручей были,опасными из-за тяжёлых погодных условий.,-40.34375,-45.875,13.53125
173,6.0,22.0,1.0,S,P,S,S_S-P,Переправа через ручьи была опасной из-за тяжёлых погодных условий.,Переправа через ручьи,была опасной из-за тяжёлых погодных условий.,-30.125,-49.40625,-71.5625,7.96875,Переправа через ручьи была,опасной из-за тяжёлых погодных условий.,-39.65625,-44.46875,12.5625
174,7.0,22.0,1.0,S,P,P,P_S-P,Переправа через ручьи были опасными из-за тяжёлых погодных условий.,Переправа через ручьи,были опасными из-за тяжёлых погодных условий.,-30.125,-50.1875,-73.4375,6.875,Переправа через ручьи были,опасными из-за тяжёлых погодных условий.,-40.6875,-45.875,13.125
175,8.0,22.0,1.0,P,S,S,S_P-S,Переправы через ручей была опасной из-за тяжёлых погодных условий.,Переправы через ручей,была опасной из-за тяжёлых погодных условий.,-30.09375,-49.40625,-75.5625,3.9375,Переправы через ручей была,опасной из-за тяжёлых погодных условий.,-42.3125,-44.46875,11.21875
176,1.0,23.0,1.0,P,P,S,S_P-P,Песни про поезда была грустной для большинства отставных машинистов.,Песни про поезда,была грустной для большинства отставных машинистов.,-32.78125,-62.5,-89.625,5.65625,Песни про поезда была,грустной для большинства отставных машинистов.,-42.90625,-59.21875,12.5
177,2.0,23.0,1.0,P,P,P,P_P-P,Песни про поезда были грустными для большинства отставных машинистов.,Песни про поезда,были грустными для большинства отставных машинистов.,-32.78125,-62.875,-88.75,6.90625,Песни про поезда были,грустными для большинства отставных машинистов.,-41.6875,-62.09375,15.03125
178,3.0,23.0,1.0,S,S,S,S_S-S,Песня про поезд была грустной для большинства отставных машинистов.,Песня про поезд,была грустной для большинства отставных машинистов.,-27.84375,-62.5,-83.125,7.21875,Песня про поезд была,грустной для большинства отставных машинистов.,-36.5,-59.21875,12.59375
179,4.0,23.0,1.0,S,S,P,P_S-S,Песня про поезд были грустными для большинства отставных машинистов.,Песня про поезд,были грустными для большинства отставных машинистов.,-27.84375,-62.875,-90.1875,0.53125,Песня про поезд были,грустными для большинства отставных машинистов.,-42.46875,-62.09375,14.375
180,5.0,23.0,1.0,S,P,S,S_S-P,Песня про поезда была грустной для большинства отставных машинистов.,Песня про поезда,была грустной для большинства отставных машинистов.,-31.171875,-62.5,-83.5,10.171875,Песня про поезда была,грустной для большинства отставных машинистов.,-37.9375,-59.21875,13.65625
181,6.0,23.0,1.0,S,P,P,P_S-P,Песня про поезда были грустными для большинства отставных машинистов.,Песня про поезда,были грустными для большинства отставных машинистов.,-31.171875,-62.875,-90.6875,3.359375,Песня про поезда были,грустными для большинства отставных машинистов.,-43.375,-62.09375,14.78125
182,7.0,23.0,1.0,P,S,S,S_P-S,Песни про поезд была грустной для большинства отставных машинистов.,Песни про поезд,была грустной для большинства отставных машинистов.,-33.1875,-62.5,-92.125,3.5625,Песни про поезд была,грустной для большинства отставных машинистов.,-45.21875,-59.21875,12.3125
183,8.0,23.0,1.0,P,S,P,P_P-S,Песни про поезд были грустными для большинства отставных машинистов.,Песни про поезд,были грустными для большинства отставных машинистов.,-33.1875,-62.875,-90.0625,6.0,Песни про поезд были,грустными для большинства отставных машинистов.,-42.84375,-62.09375,14.875
184,1.0,24.0,1.0,P,P,P,P_P-P,Письма про походы были отправлены из маленького сибирского посёлка.,Письма про походы,были отправлены из маленького сибирского посёлка.,-38.78125,-51.34375,-84.5,5.625,Письма про походы были,отправлены из маленького сибирского посёлка.,-46.875,-51.5625,13.9375
185,2.0,24.0,1.0,S,S,S,S_S-S,Письмо про поход было отправлено из маленького сибирского посёлка.,Письмо про поход,было отправлено из маленького сибирского посёлка.,-34.6875,-51.375,-73.125,12.9375,Письмо про поход было,отправлено из маленького сибирского посёлка.,-40.6875,-48.6875,16.25
186,3.0,24.0,1.0,S,S,P,P_S-S,Письмо про поход были отправлены из маленького сибирского посёлка.,Письмо про поход,были отправлены из маленького сибирского посёлка.,-34.6875,-51.34375,-79.75,6.28125,Письмо про поход были,отправлены из маленького сибирского посёлка.,-45.3125,-51.5625,17.125
187,4.0,24.0,1.0,S,P,S,S_S-P,Письмо про походы было отправлено из маленького сибирского посёлка.,Письмо про походы,было отправлено из маленького сибирского посёлка.,-35.71875,-51.375,-75.9375,11.15625,Письмо про походы было,отправлено из маленького сибирского посёлка.,-42.15625,-48.6875,14.90625
188,5.0,24.0,1.0,S,P,P,P_S-P,Письмо про походы были отправлены из маленького сибирского посёлка.,Письмо про походы,были отправлены из маленького сибирского посёлка.,-35.71875,-51.34375,-81.375,5.6875,Письмо про походы были,отправлены из маленького сибирского посёлка.,-44.8125,-51.5625,15.0
189,6.0,24.0,1.0,P,S,S,S_P-S,Письма про поход было отправлено из маленького сибирского посёлка.,Письма про поход,было отправлено из маленького сибирского посёлка.,-38.75,-51.375,-86.125,4.0,Письма про поход было,отправлено из маленького сибирского посёлка.,-49.40625,-48.6875,11.96875
190,7.0,24.0,1.0,P,S,P,P_P-S,Письма про поход были отправлены из маленького сибирского посёлка.,Письма про поход,были отправлены из маленького сибирского посёлка.,-38.75,-51.34375,-83.0625,7.03125,Письма про поход были,отправлены из маленького сибирского посёлка.,-48.09375,-51.5625,16.59375
191,8.0,24.0,1.0,P,P,S,S_P-P,Письма про походы было отправлено из маленького сибирского посёлка.,Письма про походы,было отправлено из маленького сибирского посёлка.,-38.78125,-51.375,-89.25,0.90625,Письма про походы было,отправлено из маленького сибирского посёлка.,-51.59375,-48.6875,11.03125
192,1.0,25.0,1.0,S,S,S,S_S-S,План на выходной был разрушен из-за визита назойливых родственников.,План на выходной,был разрушен из-за визита назойливых родственников.,-31.359375,-55.15625,-73.375,13.140625,План на выходной был,разрушен из-за визита назойливых родственников.,-38.375,-54.46875,19.46875
193,2.0,25.0,1.0,S,S,P,P_S-S,План на выходной были разрушены из-за визита назойливых родственников.,План на выходной,были разрушены из-за визита назойливых родственников.,-31.359375,-56.375,-78.25,9.484375,План на выходной были,разрушены из-за визита назойливых родственников.,-44.375,-56.3125,22.4375
194,3.0,25.0,1.0,S,P,S,S_S-P,План на выходные был разрушен из-за визита назойливых родственников.,План на выходные,был разрушен из-за визита назойливых родственников.,-27.4375,-55.15625,-69.125,13.46875,План на выходные был,разрушен из-за визита назойливых родственников.,-34.375,-54.46875,19.71875
195,4.0,25.0,1.0,S,P,P,P_S-P,План на выходные были разрушены из-за визита назойливых родственников.,План на выходные,были разрушены из-за визита назойливых родственников.,-27.4375,-56.375,-74.25,9.5625,План на выходные были,разрушены из-за визита назойливых родственников.,-39.875,-56.3125,21.9375
196,5.0,25.0,1.0,P,S,S,S_P-S,Планы на выходной был разрушен из-за визита назойливых родственников.,Планы на выходной,был разрушен из-за визита назойливых родственников.,-28.796875,-55.15625,-75.375,8.578125,Планы на выходной был,разрушен из-за визита назойливых родственников.,-38.84375,-54.46875,17.9375
197,6.0,25.0,1.0,P,S,P,P_P-S,Планы на выходной были разрушены из-за визита назойливых родственников.,Планы на выходной,были разрушены из-за визита назойливых родственников.,-28.796875,-56.375,-68.0625,17.109375,Планы на выходной были,разрушены из-за визита назойливых родственников.,-34.3125,-56.3125,22.5625
198,7.0,25.0,1.0,P,P,S,S_P-P,Планы на выходные был разрушен из-за визита назойливых родственников.,Планы на выходные,был разрушен из-за визита назойливых родственников.,-24.046875,-55.15625,-73.125,6.078125,Планы на выходные был,разрушен из-за визита назойливых родственников.,-36.6875,-54.46875,18.03125
199,8.0,25.0,1.0,P,P,P,P_P-P,Планы на выходные были разрушены из-за визита назойливых родственников.,Планы на выходные,были разрушены из-за визита назойливых родственников.,-24.046875,-56.375,-62.53125,17.890625,Планы на выходные были,разрушены из-за визита назойливых родственников.,-29.1875,-56.3125,22.96875
200,1.0,26.0,1.0,S,S,P,P_S-S,Поездка на остров были незабываемыми для молодых влюблённых студентов.,Поездка на остров,были незабываемыми для молодых влюблённых студентов.,-25.265625,-53.6875,-74.75,4.203125,Поездка на остров были,незабываемыми для молодых влюблённых студентов.,-35.96875,-52.5625,13.78125
201,2.0,26.0,1.0,S,P,S,S_S-P,Поездка на острова была незабываемой для молодых влюблённых студентов.,Поездка на острова,была незабываемой для молодых влюблённых студентов.,-25.9375,-52.28125,-69.3125,8.90625,Поездка на острова была,незабываемой для молодых влюблённых студентов.,-34.09375,-50.84375,15.625
202,3.0,26.0,1.0,S,P,P,P_S-P,Поездка на острова были незабываемыми для молодых влюблённых студентов.,Поездка на острова,были незабываемыми для молодых влюблённых студентов.,-25.9375,-53.6875,-75.4375,4.1875,Поездка на острова были,незабываемыми для молодых влюблённых студентов.,-37.46875,-52.5625,14.59375
203,4.0,26.0,1.0,P,S,S,S_P-S,Поездки на остров была незабываемой для молодых влюблённых студентов.,Поездки на остров,была незабываемой для молодых влюблённых студентов.,-27.703125,-52.28125,-77.0,2.984375,Поездки на остров была,незабываемой для молодых влюблённых студентов.,-40.0625,-50.84375,13.90625
204,5.0,26.0,1.0,P,S,P,P_P-S,Поездки на остров были незабываемыми для молодых влюблённых студентов.,Поездки на остров,были незабываемыми для молодых влюблённых студентов.,-27.703125,-53.6875,-71.375,10.015625,Поездки на остров были,незабываемыми для молодых влюблённых студентов.,-34.65625,-52.5625,15.84375
205,6.0,26.0,1.0,P,P,S,S_P-P,Поездки на острова была незабываемой для молодых влюблённых студентов.,Поездки на острова,была незабываемой для молодых влюблённых студентов.,-26.71875,-52.28125,-77.1875,1.8125,Поездки на острова была,незабываемой для молодых влюблённых студентов.,-39.6875,-50.84375,13.34375
206,7.0,26.0,1.0,P,P,P,P_P-P,Поездки на острова были незабываемыми для молодых влюблённых студентов.,Поездки на острова,были незабываемыми для молодых влюблённых студентов.,-26.71875,-53.6875,-72.8125,7.59375,Поездки на острова были,незабываемыми для молодых влюблённых студентов.,-34.6875,-52.5625,14.4375
207,8.0,26.0,1.0,S,S,S,S_S-S,Поездка на остров была незабываемой для молодых влюблённых студентов.,Поездка на остров,была незабываемой для молодых влюблённых студентов.,-25.265625,-52.28125,-68.125,9.421875,Поездка на остров была,незабываемой для молодых влюблённых студентов.,-33.34375,-50.84375,16.0625
208,1.0,27.0,1.0,S,P,S,S_S-P,Полет через проливы был запрещён из-за усилившегося северного ветра.,Полет через проливы,был запрещён из-за усилившегося северного ветра.,-33.90625,-52.46875,-73.0625,13.3125,Полет через проливы был,запрещён из-за усилившегося северного ветра.,-41.96875,-52.53125,21.4375
209,2.0,27.0,1.0,S,P,P,P_S-P,Полет через проливы были запрещены из-за усилившегося северного ветра.,Полет через проливы,были запрещены из-за усилившегося северного ветра.,-33.90625,-50.84375,-74.0625,10.6875,Полет через проливы были,запрещены из-за усилившегося северного ветра.,-45.5625,-49.875,21.375
210,3.0,27.0,1.0,P,S,S,S_P-S,Полеты через пролив был запрещён из-за усилившегося северного ветра.,Полеты через пролив,был запрещён из-за усилившегося северного ветра.,-32.96875,-52.46875,-74.0625,11.375,Полеты через пролив был,запрещён из-за усилившегося северного ветра.,-45.96875,-52.53125,24.4375
211,4.0,27.0,1.0,P,S,P,P_P-S,Полеты через пролив были запрещены из-за усилившегося северного ветра.,Полеты через пролив,были запрещены из-за усилившегося северного ветра.,-32.96875,-50.84375,-64.4375,19.375,Полеты через пролив были,запрещены из-за усилившегося северного ветра.,-39.875,-49.875,25.3125
