,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,masked_left,masked_full,need_to_predict,left_bert_is_singular,full_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score,full_bert_is_singular_score,full_bert_is_plural_score
108,5.0,14.0,1.0,S,S,P,P_S-S,Легенда про замок были записаны в старинной летописи графства.,Легенда про замок,были записаны в старинной летописи графства.,Легенда про замок [MASK],Легенда про замок [MASK] [MASK] в старинной летописи графства.,были записаны,True,True,-2.120619535446167,-4.343242168426514,7.415970325469971,2.1002583503723145
109,6.0,14.0,1.0,S,P,S,S_S-P,Легенда про замки была записана в старинной летописи графства.,Легенда про замки,была записана в старинной летописи графства.,Легенда про замки [MASK],Легенда про замки [MASK] [MASK] в старинной летописи графства.,была записана,True,True,-2.565638780593872,-3.0574350357055664,7.680452346801758,4.6048054695129395
110,7.0,14.0,1.0,S,P,P,P_S-P,Легенда про замки были записаны в старинной летописи графства.,Легенда про замки,были записаны в старинной летописи графства.,Легенда про замки [MASK],Легенда про замки [MASK] [MASK] в старинной летописи графства.,были записаны,True,True,-2.565638780593872,-3.0574350357055664,7.680452346801758,4.6048054695129395
111,8.0,14.0,1.0,P,S,S,S_P-S,Легенды про замок была записана в старинной летописи графства.,Легенды про замок,была записана в старинной летописи графства.,Легенды про замок [MASK],Легенды про замок [MASK] [MASK] в старинной летописи графства.,была записана,True,False,-2.1613247394561768,-3.2924976348876953,3.398529529571533,7.77831506729126
112,1.0,15.0,1.0,P,P,S,S_P-P,Лестницы в подвалы была крутой из-за отсутствия свободного места.,Лестницы в подвалы,была крутой из-за отсутствия свободного места.,Лестницы в подвалы [MASK],Лестницы в подвалы [MASK] [MASK] из-за отсутствия свободного места.,была крутой,False,False,0.5198448300361633,3.6871209144592285,4.555347442626953,9.619743347167969
113,2.0,15.0,1.0,P,P,P,P_P-P,Лестницы в подвалы были крутыми из-за отсутствия свободного места.,Лестницы в подвалы,были крутыми из-за отсутствия свободного места.,Лестницы в подвалы [MASK],Лестницы в подвалы [MASK] [MASK] из-за отсутствия свободного места.,были крутыми,False,False,0.5198448300361633,3.6871209144592285,4.555347442626953,9.619743347167969
114,3.0,15.0,1.0,S,S,S,S_S-S,Лестница в подвал была крутой из-за отсутствия свободного места.,Лестница в подвал,была крутой из-за отсутствия свободного места.,Лестница в подвал [MASK],Лестница в подвал [MASK] [MASK] из-за отсутствия свободного места.,была крутой,True,True,1.4105632305145264,-1.804773211479187,9.55950927734375,3.2181005477905273
115,4.0,15.0,1.0,S,S,P,P_S-S,Лестница в подвал были крутыми из-за отсутствия свободного места.,Лестница в подвал,были крутыми из-за отсутствия свободного места.,Лестница в подвал [MASK],Лестница в подвал [MASK] [MASK] из-за отсутствия свободного места.,были крутыми,True,True,1.4105632305145264,-1.804773211479187,9.55950927734375,3.2181005477905273
116,5.0,15.0,1.0,S,P,S,S_S-P,Лестница в подвалы была крутой из-за отсутствия свободного места.,Лестница в подвалы,была крутой из-за отсутствия свободного места.,Лестница в подвалы [MASK],Лестница в подвалы [MASK] [MASK] из-за отсутствия свободного места.,была крутой,True,True,1.519718885421753,1.0427359342575073,9.896292686462402,4.293338298797607
117,6.0,15.0,1.0,S,P,P,P_S-P,Лестница в подвалы были крутыми из-за отсутствия свободного места.,Лестница в подвалы,были крутыми из-за отсутствия свободного места.,Лестница в подвалы [MASK],Лестница в подвалы [MASK] [MASK] из-за отсутствия свободного места.,были крутыми,True,True,1.519718885421753,1.0427359342575073,9.896292686462402,4.293338298797607
118,7.0,15.0,1.0,P,S,S,S_P-S,Лестницы в подвал была крутой из-за отсутствия свободного места.,Лестницы в подвал,была крутой из-за отсутствия свободного места.,Лестницы в подвал [MASK],Лестницы в подвал [MASK] [MASK] из-за отсутствия свободного места.,была крутой,False,False,0.7492648959159851,2.8640894889831543,4.5702362060546875,9.08964729309082
119,8.0,15.0,1.0,P,S,P,P_P-S,Лестницы в подвал были крутыми из-за отсутствия свободного места.,Лестницы в подвал,были крутыми из-за отсутствия свободного места.,Лестницы в подвал [MASK],Лестницы в подвал [MASK] [MASK] из-за отсутствия свободного места.,были крутыми,False,False,0.7492648959159851,2.8640894889831543,4.5702362060546875,9.08964729309082
120,1.0,16.0,1.0,P,P,P,P_P-P,Мосты через овраги были возведены после окончания военных действий.,Мосты через овраги,были возведены после окончания военных действий.,Мосты через овраги [MASK],Мосты через овраги [MASK] [MASK] после окончания военных действий.,были возведены,False,False,-0.15837889909744263,2.300914764404297,5.9718217849731445,12.609298706054688
121,2.0,16.0,1.0,S,S,S,S_S-S,Мост через овраг был возведён после окончания военных действий.,Мост через овраг,был возведён после окончания военных действий.,Мост через овраг [MASK],Мост через овраг [MASK] [MASK] после окончания военных действий.,был возведён,True,True,0.45424196124076843,-3.9521684646606445,12.351773262023926,5.395992279052734
122,3.0,16.0,1.0,S,S,P,P_S-S,Мост через овраг были возведены после окончания военных действий.,Мост через овраг,были возведены после окончания военных действий.,Мост через овраг [MASK],Мост через овраг [MASK] [MASK] после окончания военных действий.,были возведены,True,True,0.45424196124076843,-3.9521684646606445,12.351773262023926,5.395992279052734
123,4.0,16.0,1.0,S,P,S,S_S-P,Мост через овраги был возведён после окончания военных действий.,Мост через овраги,был возведён после окончания военных действий.,Мост через овраги [MASK],Мост через овраги [MASK] [MASK] после окончания военных действий.,был возведён,True,True,0.8792836666107178,-1.4647102355957031,12.413159370422363,5.734010219573975
124,5.0,16.0,1.0,S,P,P,P_S-P,Мост через овраги были возведены после окончания военных действий.,Мост через овраги,были возведены после окончания военных действий.,Мост через овраги [MASK],Мост через овраги [MASK] [MASK] после окончания военных действий.,были возведены,True,True,0.8792836666107178,-1.4647102355957031,12.413159370422363,5.734010219573975
125,6.0,16.0,1.0,P,S,S,S_P-S,Мосты через овраг был возведён после окончания военных действий.,Мосты через овраг,был возведён после окончания военных действий.,Мосты через овраг [MASK],Мосты через овраг [MASK] [MASK] после окончания военных действий.,был возведён,False,False,-1.2255603075027466,0.4524138569831848,6.787054538726807,12.577840805053711
126,7.0,16.0,1.0,P,S,P,P_P-S,Мосты через овраг были возведены после окончания военных действий.,Мосты через овраг,были возведены после окончания военных действий.,Мосты через овраг [MASK],Мосты через овраг [MASK] [MASK] после окончания военных действий.,были возведены,False,False,-1.2255603075027466,0.4524138569831848,6.787054538726807,12.577840805053711
127,8.0,16.0,1.0,P,P,S,S_P-P,Мосты через овраги был возведён после окончания военных действий.,Мосты через овраги,был возведён после окончания военных действий.,Мосты через овраги [MASK],Мосты через овраги [MASK] [MASK] после окончания военных действий.,был возведён,False,False,-0.15837889909744263,2.300914764404297,5.9718217849731445,12.609298706054688
128,1.0,17.0,1.0,S,S,S,S_S-S,Налог на доход был повышен из-за смены политического курса.,Налог на доход,был повышен из-за смены политического курса.,Налог на доход [MASK],Налог на доход [MASK] [MASK] из-за смены политического курса.,был повышен,True,True,2.5954432487487793,-0.4926093816757202,11.58222484588623,7.057770252227783
129,2.0,17.0,1.0,S,S,P,P_S-S,Налог на доход были повышены из-за смены политического курса.,Налог на доход,были повышены из-за смены политического курса.,Налог на доход [MASK],Налог на доход [MASK] [MASK] из-за смены политического курса.,были повышены,True,True,2.5954432487487793,-0.4926093816757202,11.58222484588623,7.057770252227783
130,3.0,17.0,1.0,S,P,S,S_S-P,Налог на доходы был повышен из-за смены политического курса.,Налог на доходы,был повышен из-за смены политического курса.,Налог на доходы [MASK],Налог на доходы [MASK] [MASK] из-за смены политического курса.,был повышен,True,True,2.059551239013672,1.9626034498214722,11.845132827758789,7.899425029754639
131,4.0,17.0,1.0,S,P,P,P_S-P,Налог на доходы были повышены из-за смены политического курса.,Налог на доходы,были повышены из-за смены политического курса.,Налог на доходы [MASK],Налог на доходы [MASK] [MASK] из-за смены политического курса.,были повышены,True,True,2.059551239013672,1.9626034498214722,11.845132827758789,7.899425029754639
132,5.0,17.0,1.0,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.,Налоги на доход,был повышен из-за смены политического курса.,Налоги на доход [MASK],Налоги на доход [MASK] [MASK] из-за смены политического курса.,был повышен,False,False,0.8628084063529968,1.7679146528244019,7.351776599884033,11.085319519042969
133,6.0,17.0,1.0,P,S,P,P_P-S,Налоги на доход были повышены из-за смены политического курса.,Налоги на доход,были повышены из-за смены политического курса.,Налоги на доход [MASK],Налоги на доход [MASK] [MASK] из-за смены политического курса.,были повышены,False,False,0.8628084063529968,1.7679146528244019,7.351776599884033,11.085319519042969
134,7.0,17.0,1.0,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.,Налоги на доходы,был повышен из-за смены политического курса.,Налоги на доходы [MASK],Налоги на доходы [MASK] [MASK] из-за смены политического курса.,был повышен,False,False,1.4648306369781494,3.1363887786865234,6.436692714691162,11.692525863647461
135,8.0,17.0,1.0,P,P,P,P_P-P,Налоги на доходы были повышены из-за смены политического курса.,Налоги на доходы,были повышены из-за смены политического курса.,Налоги на доходы [MASK],Налоги на доходы [MASK] [MASK] из-за смены политического курса.,были повышены,False,False,1.4648306369781494,3.1363887786865234,6.436692714691162,11.692525863647461
136,1.0,18.0,1.0,S,S,P,P_S-S,Нападение на банк были совершены с применением холодного оружия. ,Нападение на банк,были совершены с применением холодного оружия. ,Нападение на банк [MASK],Нападение на банк [MASK] [MASK] с применением холодного оружия.,были совершены,True,True,1.6145071983337402,-3.5566368103027344,13.073126792907715,7.310052394866943
137,2.0,18.0,1.0,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия. ,Нападение на банки,было совершено с применением холодного оружия. ,Нападение на банки [MASK],Нападение на банки [MASK] [MASK] с применением холодного оружия.,было совершено,True,True,2.1190595626831055,-1.690054178237915,13.419781684875488,9.295616149902344
138,3.0,18.0,1.0,S,P,P,P_S-P,Нападение на банки были совершены с применением холодного оружия. ,Нападение на банки,были совершены с применением холодного оружия. ,Нападение на банки [MASK],Нападение на банки [MASK] [MASK] с применением холодного оружия.,были совершены,True,True,2.1190595626831055,-1.690054178237915,13.419781684875488,9.295616149902344
139,4.0,18.0,1.0,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия. ,Нападения на банк,было совершено с применением холодного оружия. ,Нападения на банк [MASK],Нападения на банк [MASK] [MASK] с применением холодного оружия.,было совершено,False,False,0.7518715858459473,1.4447605609893799,7.595894813537598,10.98843002319336
140,5.0,18.0,1.0,P,S,P,P_P-S,Нападения на банк были совершены с применением холодного оружия. ,Нападения на банк,были совершены с применением холодного оружия. ,Нападения на банк [MASK],Нападения на банк [MASK] [MASK] с применением холодного оружия.,были совершены,False,False,0.7518715858459473,1.4447605609893799,7.595894813537598,10.98843002319336
141,6.0,18.0,1.0,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия. ,Нападения на банки,было совершено с применением холодного оружия. ,Нападения на банки [MASK],Нападения на банки [MASK] [MASK] с применением холодного оружия.,было совершено,False,False,0.4880290627479553,1.9769490957260132,7.031148910522461,10.940834999084473
142,7.0,18.0,1.0,P,P,P,P_P-P,Нападения на банки были совершены с применением холодного оружия. ,Нападения на банки,были совершены с применением холодного оружия. ,Нападения на банки [MASK],Нападения на банки [MASK] [MASK] с применением холодного оружия.,были совершены,False,False,0.4880290627479553,1.9769490957260132,7.031148910522461,10.940834999084473
143,8.0,18.0,1.0,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия. ,Нападение на банк,было совершено с применением холодного оружия. ,Нападение на банк [MASK],Нападение на банк [MASK] [MASK] с применением холодного оружия.,было совершено,True,True,1.6145071983337402,-3.5566368103027344,13.073126792907715,7.310052394866943
144,1.0,19.0,1.0,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.,Окно в сады,было закрыто из-за сильного холодного ветра.,Окно в сады [MASK],Окно в сады [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,True,True,-0.7492476105690002,-1.4610321521759033,12.64686107635498,5.96334981918335
145,2.0,19.0,1.0,S,P,P,P_S-P,Окно в сады были закрыты из-за сильного холодного ветра.,Окно в сады,были закрыты из-за сильного холодного ветра.,Окно в сады [MASK],Окно в сады [MASK] [MASK] из-за сильного холодного ветра.,были закрыты,True,True,-0.7492476105690002,-1.4610321521759033,12.64686107635498,5.96334981918335
146,3.0,19.0,1.0,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.,Окна в сад,было закрыто из-за сильного холодного ветра.,Окна в сад [MASK],Окна в сад [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,False,False,0.0009072422981262207,1.8883789777755737,6.924510478973389,11.318472862243652
147,4.0,19.0,1.0,P,S,P,P_P-S,Окна в сад были закрыты из-за сильного холодного ветра.,Окна в сад,были закрыты из-за сильного холодного ветра.,Окна в сад [MASK],Окна в сад [MASK] [MASK] из-за сильного холодного ветра.,были закрыты,False,False,0.0009072422981262207,1.8883789777755737,6.924510478973389,11.318472862243652
148,5.0,19.0,1.0,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.,Окна в сады,было закрыто из-за сильного холодного ветра.,Окна в сады [MASK],Окна в сады [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,False,False,-0.5476875305175781,1.7485443353652954,6.821046829223633,11.797582626342773
149,6.0,19.0,1.0,P,P,P,P_P-P,Окна в сады были закрыты из-за сильного холодного ветра.,Окна в сады,были закрыты из-за сильного холодного ветра.,Окна в сады [MASK],Окна в сады [MASK] [MASK] из-за сильного холодного ветра.,были закрыты,False,False,-0.5476875305175781,1.7485443353652954,6.821046829223633,11.797582626342773
150,7.0,19.0,1.0,S,S,S,S_S-S,Окно в сад было закрыто из-за сильного холодного ветра.,Окно в сад,было закрыто из-за сильного холодного ветра.,Окно в сад [MASK],Окно в сад [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,True,True,0.33136889338493347,-1.9936109781265259,12.430182456970215,5.020031452178955
151,8.0,19.0,1.0,S,S,P,P_S-S,Окно в сад были закрыты из-за сильного холодного ветра.,Окно в сад,были закрыты из-за сильного холодного ветра.,Окно в сад [MASK],Окно в сад [MASK] [MASK] из-за сильного холодного ветра.,были закрыты,True,True,0.33136889338493347,-1.9936109781265259,12.430182456970215,5.020031452178955
152,1.0,20.0,1.0,S,P,P,P_S-P,Ответ на вопросы были неверными из-за недостаточного знания материала.,Ответ на вопросы,были неверными из-за недостаточного знания материала.,Ответ на вопросы [MASK],Ответ на вопросы [MASK] [MASK] из-за недостаточного знания материала.,были неверными,True,True,1.545971155166626,0.09877896308898926,12.182901382446289,7.372915267944336
153,2.0,20.0,1.0,P,S,S,S_P-S,Ответы на вопрос был неверным из-за недостаточного знания материала.,Ответы на вопрос,был неверным из-за недостаточного знания материала.,Ответы на вопрос [MASK],Ответы на вопрос [MASK] [MASK] из-за недостаточного знания материала.,был неверным,False,False,0.1321992576122284,1.8685382604599,7.32395601272583,12.004950523376465
154,3.0,20.0,1.0,P,S,P,P_P-S,Ответы на вопрос были неверными из-за недостаточного знания материала.,Ответы на вопрос,были неверными из-за недостаточного знания материала.,Ответы на вопрос [MASK],Ответы на вопрос [MASK] [MASK] из-за недостаточного знания материала.,были неверными,False,False,0.1321992576122284,1.8685382604599,7.32395601272583,12.004950523376465
155,4.0,20.0,1.0,P,P,S,S_P-P,Ответы на вопросы был неверным из-за недостаточного знания материала.,Ответы на вопросы,был неверным из-за недостаточного знания материала.,Ответы на вопросы [MASK],Ответы на вопросы [MASK] [MASK] из-за недостаточного знания материала.,был неверным,False,False,-0.16075164079666138,2.5201430320739746,6.435116291046143,12.31854248046875
156,5.0,20.0,1.0,P,P,P,P_P-P,Ответы на вопросы были неверными из-за недостаточного знания материала.,Ответы на вопросы,были неверными из-за недостаточного знания материала.,Ответы на вопросы [MASK],Ответы на вопросы [MASK] [MASK] из-за недостаточного знания материала.,были неверными,False,False,-0.16075164079666138,2.5201430320739746,6.435116291046143,12.31854248046875
157,6.0,20.0,1.0,S,S,S,S_S-S,Ответ на вопрос был неверным из-за недостаточного знания материала.,Ответ на вопрос,был неверным из-за недостаточного знания материала.,Ответ на вопрос [MASK],Ответ на вопрос [MASK] [MASK] из-за недостаточного знания материала.,был неверным,True,True,2.4602701663970947,-1.346914291381836,11.898381233215332,6.1896514892578125
158,7.0,20.0,1.0,S,S,P,P_S-S,Ответ на вопрос были неверными из-за недостаточного знания материала.,Ответ на вопрос,были неверными из-за недостаточного знания материала.,Ответ на вопрос [MASK],Ответ на вопрос [MASK] [MASK] из-за недостаточного знания материала.,были неверными,True,True,2.4602701663970947,-1.346914291381836,11.898381233215332,6.1896514892578125
159,8.0,20.0,1.0,S,P,S,S_S-P,Ответ на вопросы был неверным из-за недостаточного знания материала.,Ответ на вопросы,был неверным из-за недостаточного знания материала.,Ответ на вопросы [MASK],Ответ на вопросы [MASK] [MASK] из-за недостаточного знания материала.,был неверным,True,True,1.545971155166626,0.09877896308898926,12.182901382446289,7.372915267944336
160,1.0,21.0,1.0,P,S,S,S_P-S,Очереди в театр была бесконечной из-за большого наплыва туристов.,Очереди в театр,была бесконечной из-за большого наплыва туристов.,Очереди в театр [MASK],Очереди в театр [MASK] [MASK] из-за большого наплыва туристов.,была бесконечной,False,False,1.190295696258545,2.486701488494873,5.619274139404297,8.851999282836914
161,2.0,21.0,1.0,P,S,P,P_P-S,Очереди в театр были бесконечными из-за большого наплыва туристов.,Очереди в театр,были бесконечными из-за большого наплыва туристов.,Очереди в театр [MASK],Очереди в театр [MASK] [MASK] из-за большого наплыва туристов.,были бесконечными,False,False,1.190295696258545,2.486701488494873,5.619274139404297,8.851999282836914
162,3.0,21.0,1.0,P,P,S,S_P-P,Очереди в театры была бесконечной из-за большого наплыва туристов.,Очереди в театры,была бесконечной из-за большого наплыва туристов.,Очереди в театры [MASK],Очереди в театры [MASK] [MASK] из-за большого наплыва туристов.,была бесконечной,False,False,0.5572333931922913,3.284036159515381,5.0889410972595215,8.910070419311523
163,4.0,21.0,1.0,P,P,P,P_P-P,Очереди в театры были бесконечными из-за большого наплыва туристов.,Очереди в театры,были бесконечными из-за большого наплыва туристов.,Очереди в театры [MASK],Очереди в театры [MASK] [MASK] из-за большого наплыва туристов.,были бесконечными,False,False,0.5572333931922913,3.284036159515381,5.0889410972595215,8.910070419311523
164,5.0,21.0,1.0,S,S,S,S_S-S,Очередь в театр была бесконечной из-за большого наплыва туристов.,Очередь в театр,была бесконечной из-за большого наплыва туристов.,Очередь в театр [MASK],Очередь в театр [MASK] [MASK] из-за большого наплыва туристов.,была бесконечной,True,True,1.3242952823638916,-1.9719451665878296,10.22321891784668,4.267070293426514
165,6.0,21.0,1.0,S,S,P,P_S-S,Очередь в театр были бесконечными из-за большого наплыва туристов.,Очередь в театр,были бесконечными из-за большого наплыва туристов.,Очередь в театр [MASK],Очередь в театр [MASK] [MASK] из-за большого наплыва туристов.,были бесконечными,True,True,1.3242952823638916,-1.9719451665878296,10.22321891784668,4.267070293426514
166,7.0,21.0,1.0,S,P,S,S_S-P,Очередь в театры была бесконечной из-за большого наплыва туристов.,Очередь в театры,была бесконечной из-за большого наплыва туристов.,Очередь в театры [MASK],Очередь в театры [MASK] [MASK] из-за большого наплыва туристов.,была бесконечной,True,True,1.6044995784759521,-0.39607107639312744,9.50987434387207,5.909091472625732
167,8.0,21.0,1.0,S,P,P,P_S-P,Очередь в театры были бесконечными из-за большого наплыва туристов.,Очередь в театры,были бесконечными из-за большого наплыва туристов.,Очередь в театры [MASK],Очередь в театры [MASK] [MASK] из-за большого наплыва туристов.,были бесконечными,True,True,1.6044995784759521,-0.39607107639312744,9.50987434387207,5.909091472625732
168,1.0,22.0,1.0,P,S,P,P_P-S,Переправы через ручей были опасными из-за тяжёлых погодных условий.,Переправы через ручей,были опасными из-за тяжёлых погодных условий.,Переправы через ручей [MASK],Переправы через ручей [MASK] [MASK] из-за тяжёлых погодных условий.,были опасными,False,False,-0.9012309908866882,1.68315589427948,5.910471439361572,11.092199325561523
169,2.0,22.0,1.0,P,P,S,S_P-P,Переправы через ручьи была опасной из-за тяжёлых погодных условий.,Переправы через ручьи,была опасной из-за тяжёлых погодных условий.,Переправы через ручьи [MASK],Переправы через ручьи [MASK] [MASK] из-за тяжёлых погодных условий.,была опасной,False,False,0.36968427896499634,3.021879196166992,6.131344318389893,11.67679500579834
170,3.0,22.0,1.0,P,P,P,P_P-P,Переправы через ручьи были опасными из-за тяжёлых погодных условий.,Переправы через ручьи,были опасными из-за тяжёлых погодных условий.,Переправы через ручьи [MASK],Переправы через ручьи [MASK] [MASK] из-за тяжёлых погодных условий.,были опасными,False,False,0.36968427896499634,3.021879196166992,6.131344318389893,11.67679500579834
171,4.0,22.0,1.0,S,S,S,S_S-S,Переправа через ручей была опасной из-за тяжёлых погодных условий.,Переправа через ручей,была опасной из-за тяжёлых погодных условий.,Переправа через ручей [MASK],Переправа через ручей [MASK] [MASK] из-за тяжёлых погодных условий.,была опасной,True,True,1.859321117401123,-1.4994107484817505,13.497016906738281,5.3142571449279785
172,5.0,22.0,1.0,S,S,P,P_S-S,Переправа через ручей были опасными из-за тяжёлых погодных условий.,Переправа через ручей,были опасными из-за тяжёлых погодных условий.,Переправа через ручей [MASK],Переправа через ручей [MASK] [MASK] из-за тяжёлых погодных условий.,были опасными,True,True,1.859321117401123,-1.4994107484817505,13.497016906738281,5.3142571449279785
173,6.0,22.0,1.0,S,P,S,S_S-P,Переправа через ручьи была опасной из-за тяжёлых погодных условий.,Переправа через ручьи,была опасной из-за тяжёлых погодных условий.,Переправа через ручьи [MASK],Переправа через ручьи [MASK] [MASK] из-за тяжёлых погодных условий.,была опасной,True,True,3.1328413486480713,1.4739218950271606,14.048715591430664,6.5045485496521
174,7.0,22.0,1.0,S,P,P,P_S-P,Переправа через ручьи были опасными из-за тяжёлых погодных условий.,Переправа через ручьи,были опасными из-за тяжёлых погодных условий.,Переправа через ручьи [MASK],Переправа через ручьи [MASK] [MASK] из-за тяжёлых погодных условий.,были опасными,True,True,3.1328413486480713,1.4739218950271606,14.048715591430664,6.5045485496521
175,8.0,22.0,1.0,P,S,S,S_P-S,Переправы через ручей была опасной из-за тяжёлых погодных условий.,Переправы через ручей,была опасной из-за тяжёлых погодных условий.,Переправы через ручей [MASK],Переправы через ручей [MASK] [MASK] из-за тяжёлых погодных условий.,была опасной,False,False,-0.9012309908866882,1.68315589427948,5.910471439361572,11.092199325561523
176,1.0,23.0,1.0,P,P,S,S_P-P,Песни про поезда была грустной для большинства отставных машинистов.,Песни про поезда,была грустной для большинства отставных машинистов.,Песни про поезда [MASK],Песни про поезда [MASK] [MASK] для большинства отставных машинистов.,была грустной,False,False,-1.0734832286834717,1.7937935590744019,5.558279514312744,11.897090911865234
177,2.0,23.0,1.0,P,P,P,P_P-P,Песни про поезда были грустными для большинства отставных машинистов.,Песни про поезда,были грустными для большинства отставных машинистов.,Песни про поезда [MASK],Песни про поезда [MASK] [MASK] для большинства отставных машинистов.,были грустными,False,False,-1.0734832286834717,1.7937935590744019,5.558279514312744,11.897090911865234
178,3.0,23.0,1.0,S,S,S,S_S-S,Песня про поезд была грустной для большинства отставных машинистов.,Песня про поезд,была грустной для большинства отставных машинистов.,Песня про поезд [MASK],Песня про поезд [MASK] [MASK] для большинства отставных машинистов.,была грустной,True,True,0.7686585783958435,-2.159874439239502,10.698202133178711,3.8455638885498047
179,4.0,23.0,1.0,S,S,P,P_S-S,Песня про поезд были грустными для большинства отставных машинистов.,Песня про поезд,были грустными для большинства отставных машинистов.,Песня про поезд [MASK],Песня про поезд [MASK] [MASK] для большинства отставных машинистов.,были грустными,True,True,0.7686585783958435,-2.159874439239502,10.698202133178711,3.8455638885498047
180,5.0,23.0,1.0,S,P,S,S_S-P,Песня про поезда была грустной для большинства отставных машинистов.,Песня про поезда,была грустной для большинства отставных машинистов.,Песня про поезда [MASK],Песня про поезда [MASK] [MASK] для большинства отставных машинистов.,была грустной,True,True,1.2825089693069458,-0.6269850730895996,10.665840148925781,4.092161655426025
181,6.0,23.0,1.0,S,P,P,P_S-P,Песня про поезда были грустными для большинства отставных машинистов.,Песня про поезда,были грустными для большинства отставных машинистов.,Песня про поезда [MASK],Песня про поезда [MASK] [MASK] для большинства отставных машинистов.,были грустными,True,True,1.2825089693069458,-0.6269850730895996,10.665840148925781,4.092161655426025
182,7.0,23.0,1.0,P,S,S,S_P-S,Песни про поезд была грустной для большинства отставных машинистов.,Песни про поезд,была грустной для большинства отставных машинистов.,Песни про поезд [MASK],Песни про поезд [MASK] [MASK] для большинства отставных машинистов.,была грустной,False,False,-0.17879822850227356,0.7439495325088501,5.94009256362915,11.504007339477539
183,8.0,23.0,1.0,P,S,P,P_P-S,Песни про поезд были грустными для большинства отставных машинистов.,Песни про поезд,были грустными для большинства отставных машинистов.,Песни про поезд [MASK],Песни про поезд [MASK] [MASK] для большинства отставных машинистов.,были грустными,False,False,-0.17879822850227356,0.7439495325088501,5.94009256362915,11.504007339477539
184,1.0,24.0,1.0,P,P,P,P_P-P,Письма про походы были отправлены из маленького сибирского посёлка.,Письма про походы,были отправлены из маленького сибирского посёлка.,Письма про походы [MASK],Письма про походы [MASK] [MASK] из маленького сибирского посёлка.,были отправлены,False,False,-1.8116977214813232,0.45456767082214355,2.6325063705444336,6.797811985015869
185,2.0,24.0,1.0,S,S,S,S_S-S,Письмо про поход было отправлено из маленького сибирского посёлка.,Письмо про поход,было отправлено из маленького сибирского посёлка.,Письмо про поход [MASK],Письмо про поход [MASK] [MASK] из маленького сибирского посёлка.,было отправлено,True,True,0.6509150266647339,-1.8242006301879883,7.351776123046875,3.791787624359131
186,3.0,24.0,1.0,S,S,P,P_S-S,Письмо про поход были отправлены из маленького сибирского посёлка.,Письмо про поход,были отправлены из маленького сибирского посёлка.,Письмо про поход [MASK],Письмо про поход [MASK] [MASK] из маленького сибирского посёлка.,были отправлены,True,True,0.6509150266647339,-1.8242006301879883,7.351776123046875,3.791787624359131
187,4.0,24.0,1.0,S,P,S,S_S-P,Письмо про походы было отправлено из маленького сибирского посёлка.,Письмо про походы,было отправлено из маленького сибирского посёлка.,Письмо про походы [MASK],Письмо про походы [MASK] [MASK] из маленького сибирского посёлка.,было отправлено,False,True,-0.6093400716781616,-0.5234779119491577,7.1629109382629395,5.576841354370117
188,5.0,24.0,1.0,S,P,P,P_S-P,Письмо про походы были отправлены из маленького сибирского посёлка.,Письмо про походы,были отправлены из маленького сибирского посёлка.,Письмо про походы [MASK],Письмо про походы [MASK] [MASK] из маленького сибирского посёлка.,были отправлены,False,True,-0.6093400716781616,-0.5234779119491577,7.1629109382629395,5.576841354370117
189,6.0,24.0,1.0,P,S,S,S_P-S,Письма про поход было отправлено из маленького сибирского посёлка.,Письма про поход,было отправлено из маленького сибирского посёлка.,Письма про поход [MASK],Письма про поход [MASK] [MASK] из маленького сибирского посёлка.,было отправлено,False,False,-0.29902347922325134,-0.024619758129119873,4.26833438873291,5.690986633300781
190,7.0,24.0,1.0,P,S,P,P_P-S,Письма про поход были отправлены из маленького сибирского посёлка.,Письма про поход,были отправлены из маленького сибирского посёлка.,Письма про поход [MASK],Письма про поход [MASK] [MASK] из маленького сибирского посёлка.,были отправлены,False,False,-0.29902347922325134,-0.024619758129119873,4.26833438873291,5.690986633300781
191,8.0,24.0,1.0,P,P,S,S_P-P,Письма про походы было отправлено из маленького сибирского посёлка.,Письма про походы,было отправлено из маленького сибирского посёлка.,Письма про походы [MASK],Письма про походы [MASK] [MASK] из маленького сибирского посёлка.,было отправлено,False,False,-1.8116977214813232,0.45456767082214355,2.6325063705444336,6.797811985015869
