,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,leftA,rightA,masked_leftA,masked_fullA,need_to_predict,left_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score
98,3.0,13.0,1.0,P,P,S,S_P-P,Кружева на наряды было упаковано в вышитый шёлковый мешочек.,Кружева на наряды было,упаковано в вышитый шёлковый мешочек.,Кружева на наряды было [MASK],Кружева на наряды было [MASK] в вышитый шёлковый мешочек.,упаковано,True,-1.032677173614502,-1.985231637954712
99,4.0,13.0,1.0,P,P,P,P_P-P,Кружева на наряды были упакованы в вышитый шёлковый мешочек.,Кружева на наряды были,упакованы в вышитый шёлковый мешочек.,Кружева на наряды были [MASK],Кружева на наряды были [MASK] в вышитый шёлковый мешочек.,упакованы,False,-1.2003613710403442,0.41979169845581055
100,5.0,13.0,1.0,S,S,S,S_S-S,Кружево на наряд было упаковано в вышитый шёлковый мешочек.,Кружево на наряд было,упаковано в вышитый шёлковый мешочек.,Кружево на наряд было [MASK],Кружево на наряд было [MASK] в вышитый шёлковый мешочек.,упаковано,True,0.008726358413696289,-0.7483239769935608
101,6.0,13.0,1.0,S,S,P,P_S-S,Кружево на наряд были упакованы в вышитый шёлковый мешочек.,Кружево на наряд были,упакованы в вышитый шёлковый мешочек.,Кружево на наряд были [MASK],Кружево на наряд были [MASK] в вышитый шёлковый мешочек.,упакованы,False,-0.4819909334182739,1.2351988554000854
102,7.0,13.0,1.0,S,P,S,S_S-P,Кружево на наряды было упаковано в вышитый шёлковый мешочек.,Кружево на наряды было,упаковано в вышитый шёлковый мешочек.,Кружево на наряды было [MASK],Кружево на наряды было [MASK] в вышитый шёлковый мешочек.,упаковано,True,0.33672237396240234,-0.5069496035575867
103,8.0,13.0,1.0,S,P,P,P_S-P,Кружево на наряды были упакованы в вышитый шёлковый мешочек.,Кружево на наряды были,упакованы в вышитый шёлковый мешочек.,Кружево на наряды были [MASK],Кружево на наряды были [MASK] в вышитый шёлковый мешочек.,упакованы,False,-0.1928463578224182,1.4209736585617065
104,1.0,14.0,1.0,P,S,P,P_P-S,Легенды про замок были записаны в старинной летописи графства.,Легенды про замок были,записаны в старинной летописи графства.,Легенды про замок были [MASK],Легенды про замок были [MASK] в старинной летописи графства.,записаны,False,1.6462029218673706,6.841352939605713
105,2.0,14.0,1.0,P,P,S,S_P-P,Легенды про замки была записана в старинной летописи графства.,Легенды про замки была,записана в старинной летописи графства.,Легенды про замки была [MASK],Легенды про замки была [MASK] в старинной летописи графства.,записана,False,1.799012541770935,2.013921022415161
106,3.0,14.0,1.0,P,P,P,P_P-P,Легенды про замки были записаны в старинной летописи графства.,Легенды про замки были,записаны в старинной летописи графства.,Легенды про замки были [MASK],Легенды про замки были [MASK] в старинной летописи графства.,записаны,False,0.4337599277496338,5.034088134765625
107,4.0,14.0,1.0,S,S,S,S_S-S,Легенда про замок была записана в старинной летописи графства.,Легенда про замок была,записана в старинной летописи графства.,Легенда про замок была [MASK],Легенда про замок была [MASK] в старинной летописи графства.,записана,True,6.910775184631348,1.5197595357894897
108,5.0,14.0,1.0,S,S,P,P_S-S,Легенда про замок были записаны в старинной летописи графства.,Легенда про замок были,записаны в старинной летописи графства.,Легенда про замок были [MASK],Легенда про замок были [MASK] в старинной летописи графства.,записаны,True,-1.3425318002700806,-2.1550345420837402
109,6.0,14.0,1.0,S,P,S,S_S-P,Легенда про замки была записана в старинной летописи графства.,Легенда про замки была,записана в старинной летописи графства.,Легенда про замки была [MASK],Легенда про замки была [MASK] в старинной летописи графства.,записана,True,6.881290435791016,1.763853669166565
110,7.0,14.0,1.0,S,P,P,P_S-P,Легенда про замки были записаны в старинной летописи графства.,Легенда про замки были,записаны в старинной летописи графства.,Легенда про замки были [MASK],Легенда про замки были [MASK] в старинной летописи графства.,записаны,False,-1.2746312618255615,1.5451053380966187
111,8.0,14.0,1.0,P,S,S,S_P-S,Легенды про замок была записана в старинной летописи графства.,Легенды про замок была,записана в старинной летописи графства.,Легенды про замок была [MASK],Легенды про замок была [MASK] в старинной летописи графства.,записана,True,3.219406843185425,1.3934119939804077
112,1.0,15.0,1.0,P,P,S,S_P-P,Лестницы в подвалы была крутой из-за отсутствия свободного места.,Лестницы в подвалы была,крутой из-за отсутствия свободного места.,Лестницы в подвалы была [MASK],Лестницы в подвалы была [MASK] из-за отсутствия свободного места.,крутой,True,2.3501369953155518,-0.6943830251693726
113,2.0,15.0,1.0,P,P,P,P_P-P,Лестницы в подвалы были крутыми из-за отсутствия свободного места.,Лестницы в подвалы были,крутыми из-за отсутствия свободного места.,Лестницы в подвалы были [MASK],Лестницы в подвалы были [MASK] из-за отсутствия свободного места.,крутыми,False,-0.7211410999298096,1.7899082899093628
114,3.0,15.0,1.0,S,S,S,S_S-S,Лестница в подвал была крутой из-за отсутствия свободного места.,Лестница в подвал была,крутой из-за отсутствия свободного места.,Лестница в подвал была [MASK],Лестница в подвал была [MASK] из-за отсутствия свободного места.,крутой,True,3.8391003608703613,-0.7943128347396851
115,4.0,15.0,1.0,S,S,P,P_S-S,Лестница в подвал были крутыми из-за отсутствия свободного места.,Лестница в подвал были,крутыми из-за отсутствия свободного места.,Лестница в подвал были [MASK],Лестница в подвал были [MASK] из-за отсутствия свободного места.,крутыми,False,0.5126416683197021,1.083081841468811
116,5.0,15.0,1.0,S,P,S,S_S-P,Лестница в подвалы была крутой из-за отсутствия свободного места.,Лестница в подвалы была,крутой из-за отсутствия свободного места.,Лестница в подвалы была [MASK],Лестница в подвалы была [MASK] из-за отсутствия свободного места.,крутой,True,4.083301067352295,-0.6208968162536621
117,6.0,15.0,1.0,S,P,P,P_S-P,Лестница в подвалы были крутыми из-за отсутствия свободного места.,Лестница в подвалы были,крутыми из-за отсутствия свободного места.,Лестница в подвалы были [MASK],Лестница в подвалы были [MASK] из-за отсутствия свободного места.,крутыми,False,0.9319436550140381,1.6783925294876099
118,7.0,15.0,1.0,P,S,S,S_P-S,Лестницы в подвал была крутой из-за отсутствия свободного места.,Лестницы в подвал была,крутой из-за отсутствия свободного места.,Лестницы в подвал была [MASK],Лестницы в подвал была [MASK] из-за отсутствия свободного места.,крутой,True,2.8484396934509277,-1.0561096668243408
119,8.0,15.0,1.0,P,S,P,P_P-S,Лестницы в подвал были крутыми из-за отсутствия свободного места.,Лестницы в подвал были,крутыми из-за отсутствия свободного места.,Лестницы в подвал были [MASK],Лестницы в подвал были [MASK] из-за отсутствия свободного места.,крутыми,False,-0.8592326641082764,1.634440541267395
120,1.0,16.0,1.0,P,P,P,P_P-P,Мосты через овраги были возведены после окончания военных действий.,Мосты через овраги были,возведены после окончания военных действий.,Мосты через овраги были [MASK],Мосты через овраги были [MASK] после окончания военных действий.,возведены,False,2.3522462844848633,8.012982368469238
121,2.0,16.0,1.0,S,S,S,S_S-S,Мост через овраг был возведён после окончания военных действий.,Мост через овраг был,возведён после окончания военных действий.,Мост через овраг был [MASK],Мост через овраг был [MASK] после окончания военных действий.,возведён,True,7.823831558227539,0.1788371205329895
122,3.0,16.0,1.0,S,S,P,P_S-S,Мост через овраг были возведены после окончания военных действий.,Мост через овраг были,возведены после окончания военных действий.,Мост через овраг были [MASK],Мост через овраг были [MASK] после окончания военных действий.,возведены,False,5.776033401489258,7.969435691833496
123,4.0,16.0,1.0,S,P,S,S_S-P,Мост через овраги был возведён после окончания военных действий.,Мост через овраги был,возведён после окончания военных действий.,Мост через овраги был [MASK],Мост через овраги был [MASK] после окончания военных действий.,возведён,True,7.6824750900268555,0.20614570379257202
124,5.0,16.0,1.0,S,P,P,P_S-P,Мост через овраги были возведены после окончания военных действий.,Мост через овраги были,возведены после окончания военных действий.,Мост через овраги были [MASK],Мост через овраги были [MASK] после окончания военных действий.,возведены,False,6.069784164428711,7.238554000854492
125,6.0,16.0,1.0,P,S,S,S_P-S,Мосты через овраг был возведён после окончания военных действий.,Мосты через овраг был,возведён после окончания военных действий.,Мосты через овраг был [MASK],Мосты через овраг был [MASK] после окончания военных действий.,возведён,True,5.946489334106445,5.4987688064575195
126,7.0,16.0,1.0,P,S,P,P_P-S,Мосты через овраг были возведены после окончания военных действий.,Мосты через овраг были,возведены после окончания военных действий.,Мосты через овраг были [MASK],Мосты через овраг были [MASK] после окончания военных действий.,возведены,False,2.8454792499542236,8.227001190185547
127,8.0,16.0,1.0,P,P,S,S_P-P,Мосты через овраги был возведён после окончания военных действий.,Мосты через овраги был,возведён после окончания военных действий.,Мосты через овраги был [MASK],Мосты через овраги был [MASK] после окончания военных действий.,возведён,False,5.457261085510254,5.700925827026367
128,1.0,17.0,1.0,S,S,S,S_S-S,Налог на доход был повышен из-за смены политического курса.,Налог на доход был,повышен из-за смены политического курса.,Налог на доход был [MASK],Налог на доход был [MASK] из-за смены политического курса.,повышен,True,9.86451530456543,3.746879816055298
129,2.0,17.0,1.0,S,S,P,P_S-S,Налог на доход были повышены из-за смены политического курса.,Налог на доход были,повышены из-за смены политического курса.,Налог на доход были [MASK],Налог на доход были [MASK] из-за смены политического курса.,повышены,False,8.83056354522705,10.615331649780273
130,3.0,17.0,1.0,S,P,S,S_S-P,Налог на доходы был повышен из-за смены политического курса.,Налог на доходы был,повышен из-за смены политического курса.,Налог на доходы был [MASK],Налог на доходы был [MASK] из-за смены политического курса.,повышен,True,10.942486763000488,5.026740550994873
131,4.0,17.0,1.0,S,P,P,P_S-P,Налог на доходы были повышены из-за смены политического курса.,Налог на доходы были,повышены из-за смены политического курса.,Налог на доходы были [MASK],Налог на доходы были [MASK] из-за смены политического курса.,повышены,False,8.119315147399902,10.981590270996094
132,5.0,17.0,1.0,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.,Налоги на доход был,повышен из-за смены политического курса.,Налоги на доход был [MASK],Налоги на доход был [MASK] из-за смены политического курса.,повышен,True,7.532900810241699,7.382585048675537
133,6.0,17.0,1.0,P,S,P,P_P-S,Налоги на доход были повышены из-за смены политического курса.,Налоги на доход были,повышены из-за смены политического курса.,Налоги на доход были [MASK],Налоги на доход были [MASK] из-за смены политического курса.,повышены,False,5.329904079437256,10.740854263305664
134,7.0,17.0,1.0,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.,Налоги на доходы был,повышен из-за смены политического курса.,Налоги на доходы был [MASK],Налоги на доходы был [MASK] из-за смены политического курса.,повышен,False,7.3635358810424805,8.855538368225098
135,8.0,17.0,1.0,P,P,P,P_P-P,Налоги на доходы были повышены из-за смены политического курса.,Налоги на доходы были,повышены из-за смены политического курса.,Налоги на доходы были [MASK],Налоги на доходы были [MASK] из-за смены политического курса.,повышены,False,5.9450860023498535,11.81057357788086
136,1.0,18.0,1.0,S,S,P,P_S-S,Нападение на банк были совершены с применением холодного оружия. ,Нападение на банк были,совершены с применением холодного оружия.,Нападение на банк были [MASK],Нападение на банк были [MASK] с применением холодного оружия.,совершены,False,5.7831196784973145,8.486227035522461
137,2.0,18.0,1.0,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия. ,Нападение на банки было,совершено с применением холодного оружия.,Нападение на банки было [MASK],Нападение на банки было [MASK] с применением холодного оружия.,совершено,True,9.742752075195312,2.5169053077697754
138,3.0,18.0,1.0,S,P,P,P_S-P,Нападение на банки были совершены с применением холодного оружия. ,Нападение на банки были,совершены с применением холодного оружия.,Нападение на банки были [MASK],Нападение на банки были [MASK] с применением холодного оружия.,совершены,False,4.843970775604248,8.59591007232666
139,4.0,18.0,1.0,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия. ,Нападения на банк было,совершено с применением холодного оружия.,Нападения на банк было [MASK],Нападения на банк было [MASK] с применением холодного оружия.,совершено,True,8.177312850952148,2.078585386276245
140,5.0,18.0,1.0,P,S,P,P_P-S,Нападения на банк были совершены с применением холодного оружия. ,Нападения на банк были,совершены с применением холодного оружия.,Нападения на банк были [MASK],Нападения на банк были [MASK] с применением холодного оружия.,совершены,False,2.626302719116211,7.9200758934021
141,6.0,18.0,1.0,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия. ,Нападения на банки было,совершено с применением холодного оружия.,Нападения на банки было [MASK],Нападения на банки было [MASK] с применением холодного оружия.,совершено,True,6.877719402313232,1.4681103229522705
142,7.0,18.0,1.0,P,P,P,P_P-P,Нападения на банки были совершены с применением холодного оружия. ,Нападения на банки были,совершены с применением холодного оружия.,Нападения на банки были [MASK],Нападения на банки были [MASK] с применением холодного оружия.,совершены,False,2.4459316730499268,7.652859210968018
143,8.0,18.0,1.0,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия. ,Нападение на банк было,совершено с применением холодного оружия.,Нападение на банк было [MASK],Нападение на банк было [MASK] с применением холодного оружия.,совершено,True,10.00704574584961,2.286992073059082
144,1.0,19.0,1.0,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.,Окно в сады было,закрыто из-за сильного холодного ветра.,Окно в сады было [MASK],Окно в сады было [MASK] из-за сильного холодного ветра.,закрыто,True,10.60285758972168,5.339608192443848
145,2.0,19.0,1.0,S,P,P,P_S-P,Окно в сады были закрыты из-за сильного холодного ветра.,Окно в сады были,закрыты из-за сильного холодного ветра.,Окно в сады были [MASK],Окно в сады были [MASK] из-за сильного холодного ветра.,закрыты,False,7.022862911224365,10.559295654296875
146,3.0,19.0,1.0,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.,Окна в сад было,закрыто из-за сильного холодного ветра.,Окна в сад было [MASK],Окна в сад было [MASK] из-за сильного холодного ветра.,закрыто,True,5.492674827575684,3.4983694553375244
147,4.0,19.0,1.0,P,S,P,P_P-S,Окна в сад были закрыты из-за сильного холодного ветра.,Окна в сад были,закрыты из-за сильного холодного ветра.,Окна в сад были [MASK],Окна в сад были [MASK] из-за сильного холодного ветра.,закрыты,False,2.6758224964141846,10.608966827392578
148,5.0,19.0,1.0,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.,Окна в сады было,закрыто из-за сильного холодного ветра.,Окна в сады было [MASK],Окна в сады было [MASK] из-за сильного холодного ветра.,закрыто,True,6.676384925842285,3.896007537841797
149,6.0,19.0,1.0,P,P,P,P_P-P,Окна в сады были закрыты из-за сильного холодного ветра.,Окна в сады были,закрыты из-за сильного холодного ветра.,Окна в сады были [MASK],Окна в сады были [MASK] из-за сильного холодного ветра.,закрыты,False,3.363802433013916,11.183215141296387
150,7.0,19.0,1.0,S,S,S,S_S-S,Окно в сад было закрыто из-за сильного холодного ветра.,Окно в сад было,закрыто из-за сильного холодного ветра.,Окно в сад было [MASK],Окно в сад было [MASK] из-за сильного холодного ветра.,закрыто,True,10.235770225524902,4.833209037780762
151,8.0,19.0,1.0,S,S,P,P_S-S,Окно в сад были закрыты из-за сильного холодного ветра.,Окно в сад были,закрыты из-за сильного холодного ветра.,Окно в сад были [MASK],Окно в сад были [MASK] из-за сильного холодного ветра.,закрыты,False,7.962021827697754,9.948856353759766
152,1.0,20.0,1.0,S,P,P,P_S-P,Ответ на вопросы были неверными из-за недостаточного знания материала.,Ответ на вопросы были,неверными из-за недостаточного знания материала.,Ответ на вопросы были [MASK],Ответ на вопросы были [MASK] из-за недостаточного знания материала.,неверными,True,3.556346893310547,3.440185546875
153,2.0,20.0,1.0,P,S,S,S_P-S,Ответы на вопрос был неверным из-за недостаточного знания материала.,Ответы на вопрос был,неверным из-за недостаточного знания материала.,Ответы на вопрос был [MASK],Ответы на вопрос был [MASK] из-за недостаточного знания материала.,неверным,True,4.137653350830078,2.5309977531433105
154,3.0,20.0,1.0,P,S,P,P_P-S,Ответы на вопрос были неверными из-за недостаточного знания материала.,Ответы на вопрос были,неверными из-за недостаточного знания материала.,Ответы на вопрос были [MASK],Ответы на вопрос были [MASK] из-за недостаточного знания материала.,неверными,True,4.197787761688232,3.8592238426208496
155,4.0,20.0,1.0,P,P,S,S_P-P,Ответы на вопросы был неверным из-за недостаточного знания материала.,Ответы на вопросы был,неверным из-за недостаточного знания материала.,Ответы на вопросы был [MASK],Ответы на вопросы был [MASK] из-за недостаточного знания материала.,неверным,True,3.5946645736694336,2.208418846130371
156,5.0,20.0,1.0,P,P,P,P_P-P,Ответы на вопросы были неверными из-за недостаточного знания материала.,Ответы на вопросы были,неверными из-за недостаточного знания материала.,Ответы на вопросы были [MASK],Ответы на вопросы были [MASK] из-за недостаточного знания материала.,неверными,True,3.7613818645477295,3.6357011795043945
157,6.0,20.0,1.0,S,S,S,S_S-S,Ответ на вопрос был неверным из-за недостаточного знания материала.,Ответ на вопрос был,неверным из-за недостаточного знания материала.,Ответ на вопрос был [MASK],Ответ на вопрос был [MASK] из-за недостаточного знания материала.,неверным,True,5.225161552429199,2.920667886734009
158,7.0,20.0,1.0,S,S,P,P_S-S,Ответ на вопрос были неверными из-за недостаточного знания материала.,Ответ на вопрос были,неверными из-за недостаточного знания материала.,Ответ на вопрос были [MASK],Ответ на вопрос были [MASK] из-за недостаточного знания материала.,неверными,True,3.8751039505004883,3.7784900665283203
159,8.0,20.0,1.0,S,P,S,S_S-P,Ответ на вопросы был неверным из-за недостаточного знания материала.,Ответ на вопросы был,неверным из-за недостаточного знания материала.,Ответ на вопросы был [MASK],Ответ на вопросы был [MASK] из-за недостаточного знания материала.,неверным,True,4.516387462615967,2.5807509422302246
160,1.0,21.0,1.0,P,S,S,S_P-S,Очереди в театр была бесконечной из-за большого наплыва туристов.,Очереди в театр была,бесконечной из-за большого наплыва туристов.,Очереди в театр была [MASK],Очереди в театр была [MASK] из-за большого наплыва туристов.,бесконечной,True,3.1435179710388184,-0.026030123233795166
161,2.0,21.0,1.0,P,S,P,P_P-S,Очереди в театр были бесконечными из-за большого наплыва туристов.,Очереди в театр были,бесконечными из-за большого наплыва туристов.,Очереди в театр были [MASK],Очереди в театр были [MASK] из-за большого наплыва туристов.,бесконечными,False,0.1255948841571808,1.9762382507324219
162,3.0,21.0,1.0,P,P,S,S_P-P,Очереди в театры была бесконечной из-за большого наплыва туристов.,Очереди в театры была,бесконечной из-за большого наплыва туристов.,Очереди в театры была [MASK],Очереди в театры была [MASK] из-за большого наплыва туристов.,бесконечной,True,3.9994149208068848,1.1662776470184326
163,4.0,21.0,1.0,P,P,P,P_P-P,Очереди в театры были бесконечными из-за большого наплыва туристов.,Очереди в театры были,бесконечными из-за большого наплыва туристов.,Очереди в театры были [MASK],Очереди в театры были [MASK] из-за большого наплыва туристов.,бесконечными,False,0.760290265083313,2.261017322540283
164,5.0,21.0,1.0,S,S,S,S_S-S,Очередь в театр была бесконечной из-за большого наплыва туристов.,Очередь в театр была,бесконечной из-за большого наплыва туристов.,Очередь в театр была [MASK],Очередь в театр была [MASK] из-за большого наплыва туристов.,бесконечной,True,5.984371185302734,2.1284737586975098
165,6.0,21.0,1.0,S,S,P,P_S-S,Очередь в театр были бесконечными из-за большого наплыва туристов.,Очередь в театр были,бесконечными из-за большого наплыва туристов.,Очередь в театр были [MASK],Очередь в театр были [MASK] из-за большого наплыва туристов.,бесконечными,False,2.562506914138794,3.0087063312530518
166,7.0,21.0,1.0,S,P,S,S_S-P,Очередь в театры была бесконечной из-за большого наплыва туристов.,Очередь в театры была,бесконечной из-за большого наплыва туристов.,Очередь в театры была [MASK],Очередь в театры была [MASK] из-за большого наплыва туристов.,бесконечной,True,6.9152445793151855,3.015185832977295
167,8.0,21.0,1.0,S,P,P,P_S-P,Очередь в театры были бесконечными из-за большого наплыва туристов.,Очередь в театры были,бесконечными из-за большого наплыва туристов.,Очередь в театры были [MASK],Очередь в театры были [MASK] из-за большого наплыва туристов.,бесконечными,True,4.043081283569336,3.8507728576660156
168,1.0,22.0,1.0,P,S,P,P_P-S,Переправы через ручей были опасными из-за тяжёлых погодных условий.,Переправы через ручей были,опасными из-за тяжёлых погодных условий.,Переправы через ручей были [MASK],Переправы через ручей были [MASK] из-за тяжёлых погодных условий.,опасными,False,2.2712666988372803,4.698238372802734
169,2.0,22.0,1.0,P,P,S,S_P-P,Переправы через ручьи была опасной из-за тяжёлых погодных условий.,Переправы через ручьи была,опасной из-за тяжёлых погодных условий.,Переправы через ручьи была [MASK],Переправы через ручьи была [MASK] из-за тяжёлых погодных условий.,опасной,True,5.914178848266602,0.9015690684318542
170,3.0,22.0,1.0,P,P,P,P_P-P,Переправы через ручьи были опасными из-за тяжёлых погодных условий.,Переправы через ручьи были,опасными из-за тяжёлых погодных условий.,Переправы через ручьи были [MASK],Переправы через ручьи были [MASK] из-за тяжёлых погодных условий.,опасными,False,2.223794937133789,5.111587047576904
171,4.0,22.0,1.0,S,S,S,S_S-S,Переправа через ручей была опасной из-за тяжёлых погодных условий.,Переправа через ручей была,опасной из-за тяжёлых погодных условий.,Переправа через ручей была [MASK],Переправа через ручей была [MASK] из-за тяжёлых погодных условий.,опасной,True,6.912768840789795,-0.073206827044487
172,5.0,22.0,1.0,S,S,P,P_S-S,Переправа через ручей были опасными из-за тяжёлых погодных условий.,Переправа через ручей были,опасными из-за тяжёлых погодных условий.,Переправа через ручей были [MASK],Переправа через ручей были [MASK] из-за тяжёлых погодных условий.,опасными,False,3.9495768547058105,4.1294403076171875
173,6.0,22.0,1.0,S,P,S,S_S-P,Переправа через ручьи была опасной из-за тяжёлых погодных условий.,Переправа через ручьи была,опасной из-за тяжёлых погодных условий.,Переправа через ручьи была [MASK],Переправа через ручьи была [MASK] из-за тяжёлых погодных условий.,опасной,True,7.390707969665527,0.5569942593574524
174,7.0,22.0,1.0,S,P,P,P_S-P,Переправа через ручьи были опасными из-за тяжёлых погодных условий.,Переправа через ручьи были,опасными из-за тяжёлых погодных условий.,Переправа через ручьи были [MASK],Переправа через ручьи были [MASK] из-за тяжёлых погодных условий.,опасными,False,3.6634440422058105,4.882645130157471
175,8.0,22.0,1.0,P,S,S,S_P-S,Переправы через ручей была опасной из-за тяжёлых погодных условий.,Переправы через ручей была,опасной из-за тяжёлых погодных условий.,Переправы через ручей была [MASK],Переправы через ручей была [MASK] из-за тяжёлых погодных условий.,опасной,True,5.868844032287598,-0.04063801467418671
176,1.0,23.0,1.0,P,P,S,S_P-P,Песни про поезда была грустной для большинства отставных машинистов.,Песни про поезда была,грустной для большинства отставных машинистов.,Песни про поезда была [MASK],Песни про поезда была [MASK] для большинства отставных машинистов.,грустной,True,2.2971458435058594,1.4686143398284912
177,2.0,23.0,1.0,P,P,P,P_P-P,Песни про поезда были грустными для большинства отставных машинистов.,Песни про поезда были,грустными для большинства отставных машинистов.,Песни про поезда были [MASK],Песни про поезда были [MASK] для большинства отставных машинистов.,грустными,False,1.788964867591858,3.349837303161621
178,3.0,23.0,1.0,S,S,S,S_S-S,Песня про поезд была грустной для большинства отставных машинистов.,Песня про поезд была,грустной для большинства отставных машинистов.,Песня про поезд была [MASK],Песня про поезд была [MASK] для большинства отставных машинистов.,грустной,True,3.424994945526123,2.226497173309326
179,4.0,23.0,1.0,S,S,P,P_S-S,Песня про поезд были грустными для большинства отставных машинистов.,Песня про поезд были,грустными для большинства отставных машинистов.,Песня про поезд были [MASK],Песня про поезд были [MASK] для большинства отставных машинистов.,грустными,False,2.953505277633667,3.540660858154297
180,5.0,23.0,1.0,S,P,S,S_S-P,Песня про поезда была грустной для большинства отставных машинистов.,Песня про поезда была,грустной для большинства отставных машинистов.,Песня про поезда была [MASK],Песня про поезда была [MASK] для большинства отставных машинистов.,грустной,True,3.264888286590576,2.1501173973083496
181,6.0,23.0,1.0,S,P,P,P_S-P,Песня про поезда были грустными для большинства отставных машинистов.,Песня про поезда были,грустными для большинства отставных машинистов.,Песня про поезда были [MASK],Песня про поезда были [MASK] для большинства отставных машинистов.,грустными,False,3.557432174682617,4.060244560241699
182,7.0,23.0,1.0,P,S,S,S_P-S,Песни про поезд была грустной для большинства отставных машинистов.,Песни про поезд была,грустной для большинства отставных машинистов.,Песни про поезд была [MASK],Песни про поезд была [MASK] для большинства отставных машинистов.,грустной,True,2.617828130722046,1.549229383468628
183,8.0,23.0,1.0,P,S,P,P_P-S,Песни про поезд были грустными для большинства отставных машинистов.,Песни про поезд были,грустными для большинства отставных машинистов.,Песни про поезд были [MASK],Песни про поезд были [MASK] для большинства отставных машинистов.,грустными,False,1.8154520988464355,3.2773642539978027
184,1.0,24.0,1.0,P,P,P,P_P-P,Письма про походы были отправлены из маленького сибирского посёлка.,Письма про походы были,отправлены из маленького сибирского посёлка.,Письма про походы были [MASK],Письма про походы были [MASK] из маленького сибирского посёлка.,отправлены,False,2.4185094833374023,6.429545879364014
185,2.0,24.0,1.0,S,S,S,S_S-S,Письмо про поход было отправлено из маленького сибирского посёлка.,Письмо про поход было,отправлено из маленького сибирского посёлка.,Письмо про поход было [MASK],Письмо про поход было [MASK] из маленького сибирского посёлка.,отправлено,True,10.204069137573242,4.048094749450684
186,3.0,24.0,1.0,S,S,P,P_S-S,Письмо про поход были отправлены из маленького сибирского посёлка.,Письмо про поход были,отправлены из маленького сибирского посёлка.,Письмо про поход были [MASK],Письмо про поход были [MASK] из маленького сибирского посёлка.,отправлены,False,3.5658135414123535,3.6856956481933594
187,4.0,24.0,1.0,S,P,S,S_S-P,Письмо про походы было отправлено из маленького сибирского посёлка.,Письмо про походы было,отправлено из маленького сибирского посёлка.,Письмо про походы было [MASK],Письмо про походы было [MASK] из маленького сибирского посёлка.,отправлено,True,9.650946617126465,3.5515222549438477
188,5.0,24.0,1.0,S,P,P,P_S-P,Письмо про походы были отправлены из маленького сибирского посёлка.,Письмо про походы были,отправлены из маленького сибирского посёлка.,Письмо про походы были [MASK],Письмо про походы были [MASK] из маленького сибирского посёлка.,отправлены,False,3.2098798751831055,4.047264575958252
189,6.0,24.0,1.0,P,S,S,S_P-S,Письма про поход было отправлено из маленького сибирского посёлка.,Письма про поход было,отправлено из маленького сибирского посёлка.,Письма про поход было [MASK],Письма про поход было [MASK] из маленького сибирского посёлка.,отправлено,True,6.088846683502197,2.042698383331299
190,7.0,24.0,1.0,P,S,P,P_P-S,Письма про поход были отправлены из маленького сибирского посёлка.,Письма про поход были,отправлены из маленького сибирского посёлка.,Письма про поход были [MASK],Письма про поход были [MASK] из маленького сибирского посёлка.,отправлены,False,2.990002155303955,7.420947551727295
